,norm,base_features,pairwise_features,scaler,classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores
0,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__LR,0.93993993994,0.030288070912,"{'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': 1, 'random_state': 0, 'C': 0.5, 'max_iter': 50, 'fit_intercept': True}",0.938805970149,0.0181575000904,"[ 0.91791045  0.95522388  0.94029851  0.96268657  0.92537313  0.91791045
  0.91044776  0.97014925  0.92537313  0.91044776  0.92537313  0.94776119
  0.94029851  0.92537313  0.97014925  0.96268657  0.97014925  0.92537313
  0.96268657  0.97761194  0.91791045  0.92537313  0.94029851  0.94776119
  0.97014925  0.90298507  0.94029851  0.93283582  0.95522388  0.93283582
  0.96268657  0.91044776  0.95522388  0.93283582  0.94029851  0.95522388
  0.94776119  0.95522388  0.94776119  0.94776119  0.95522388  0.94776119
  0.91791045  0.94776119  0.91044776  0.91791045  0.95522388  0.97014925
  0.94029851  0.92537313  0.96268657  0.97014925  0.93283582  0.95522388
  0.95522388  0.92537313  0.94029851  0.94776119  0.94776119  0.93283582
  0.92537313  0.95522388  0.93283582  0.92537313  0.92537313  0.91791045
  0.90298507  0.93283582  0.89552239  0.91791045  0.91791045  0.96268657
  0.92537313  0.94029851  0.94029851  0.94776119  0.92537313  0.95522388
  0.94776119  0.94776119  0.95522388  0.96268657  0.90298507  0.94029851
  0.93283582  0.94029851  0.92537313  0.91044776  0.92537313  0.93283582
  0.94029851  0.94029851  0.94029851  0.92537313  0.93283582  0.94029851
  0.96268657  0.93283582  0.94776119  0.92537313]"
1,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__RF,0.944444444444,0.0263330517601,"{'class_weight': None, 'criterion': 'entropy', 'min_weight_fraction_leaf': 0.0, 'n_jobs': 1, 'max_features': 0.5, 'random_state': 0, 'min_samples_leaf': 1, 'warm_start': False, 'verbose': 0, 'n_estimators': 100, 'min_samples_split': 2, 'max_leaf_nodes': None, 'oob_score': False, 'max_depth': 3, 'bootstrap': True}",0.943656716418,0.016599236134,"[ 0.91044776  0.94776119  0.94776119  0.96268657  0.94776119  0.94029851
  0.93283582  0.97014925  0.94776119  0.93283582  0.93283582  0.95522388
  0.95522388  0.93283582  0.96268657  0.96268657  0.97761194  0.92537313
  0.96268657  0.97761194  0.92537313  0.94776119  0.94776119  0.94029851
  0.97014925  0.93283582  0.94776119  0.93283582  0.94029851  0.93283582
  0.97014925  0.91791045  0.96268657  0.93283582  0.94029851  0.95522388
  0.95522388  0.94776119  0.95522388  0.96268657  0.95522388  0.95522388
  0.94029851  0.94776119  0.91791045  0.92537313  0.95522388  0.95522388
  0.93283582  0.93283582  0.95522388  0.97014925  0.94029851  0.97014925
  0.97014925  0.91044776  0.94029851  0.94029851  0.93283582  0.94029851
  0.91791045  0.97014925  0.94029851  0.94029851  0.93283582  0.92537313
  0.91791045  0.96268657  0.89552239  0.94029851  0.93283582  0.96268657
  0.93283582  0.94776119  0.92537313  0.94776119  0.91791045  0.95522388
  0.94029851  0.96268657  0.94776119  0.95522388  0.91791045  0.94029851
  0.92537313  0.93283582  0.94029851  0.91791045  0.92537313  0.94029851
  0.94029851  0.95522388  0.94029851  0.92537313  0.95522388  0.96268657
  0.96268657  0.94029851  0.95522388  0.92537313]"
2,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__GBT,0.947447447447,0.0222747907213,"{'colsample_bytree': 1.0, 'nthread': 1, 'seed': 0, 'n_estimators': 100, 'base_score': 0.5, 'silent': True, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.9, 'objective': 'binary:logistic'}",0.941044776119,0.0168365883174,"[ 0.94776119  0.93283582  0.94776119  0.94776119  0.94029851  0.92537313
  0.95522388  0.96268657  0.94029851  0.91791045  0.91791045  0.92537313
  0.94776119  0.93283582  0.95522388  0.94029851  0.97761194  0.94776119
  0.95522388  0.94776119  0.92537313  0.94029851  0.93283582  0.94776119
  0.96268657  0.95522388  0.94029851  0.94776119  0.94029851  0.92537313
  0.95522388  0.91791045  0.94776119  0.93283582  0.95522388  0.94029851
  0.94029851  0.96268657  0.93283582  0.94029851  0.95522388  0.96268657
  0.92537313  0.95522388  0.94029851  0.92537313  0.95522388  0.95522388
  0.92537313  0.94776119  0.97014925  0.95522388  0.94776119  0.97014925
  0.94029851  0.92537313  0.94029851  0.93283582  0.93283582  0.94029851
  0.90298507  0.94776119  0.94776119  0.94776119  0.95522388  0.92537313
  0.93283582  0.97014925  0.88059701  0.92537313  0.92537313  0.95522388
  0.91791045  0.93283582  0.91791045  0.94776119  0.93283582  0.97014925
  0.92537313  0.95522388  0.92537313  0.96268657  0.91044776  0.95522388
  0.91044776  0.94029851  0.93283582  0.92537313  0.93283582  0.91791045
  0.94776119  0.96268657  0.92537313  0.95522388  0.93283582  0.94029851
  0.97761194  0.96268657  0.92537313  0.93283582]"
3,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__SGD,0.945945945946,0.0296324510949,"{'class_weight': None, 'verbose': 0, 'eta0': 0.0, 'l1_ratio': 1.0, 'epsilon': 0.1, 'n_jobs': -1, 'learning_rate': 'optimal', 'n_iter': 100, 'penalty': 'elasticnet', 'random_state': 0, 'loss': 'hinge', 'power_t': 0.5, 'shuffle': True, 'alpha': 0.001, 'fit_intercept': True}",0.943507462687,0.0182570627048,"[ 0.91791045  0.94029851  0.94776119  0.96268657  0.92537313  0.91791045
  0.91044776  0.97014925  0.94776119  0.92537313  0.93283582  0.95522388
  0.95522388  0.93283582  0.96268657  0.97014925  0.97014925  0.92537313
  0.95522388  0.98507463  0.93283582  0.92537313  0.94029851  0.94029851
  0.96268657  0.92537313  0.94776119  0.94776119  0.96268657  0.94029851
  0.96268657  0.91791045  0.94029851  0.93283582  0.94029851  0.96268657
  0.97014925  0.95522388  0.94776119  0.96268657  0.96268657  0.94776119
  0.93283582  0.95522388  0.91791045  0.93283582  0.96268657  0.96268657
  0.93283582  0.93283582  0.95522388  0.97761194  0.94029851  0.97014925
  0.95522388  0.91044776  0.93283582  0.95522388  0.94776119  0.94029851
  0.93283582  0.97014925  0.92537313  0.93283582  0.92537313  0.94029851
  0.91044776  0.94776119  0.86567164  0.92537313  0.92537313  0.96268657
  0.92537313  0.94029851  0.94776119  0.94776119  0.92537313  0.97014925
  0.94776119  0.95522388  0.96268657  0.96268657  0.91791045  0.94776119
  0.94029851  0.95522388  0.94029851  0.93283582  0.93283582  0.94776119
  0.94776119  0.95522388  0.94029851  0.92537313  0.93283582  0.95522388
  0.96268657  0.94029851  0.94029851  0.93283582]"
4,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__SVC,0.944444444444,0.030302695742,"{'gamma': 0.2, 'kernel': 'rbf', 'random_state': 0, 'C': 0.35000000000000003, 'max_iter': 100, 'shrinking': True, 'degree': 2}",0.944029850746,0.0183860970071,"[ 0.91791045  0.95522388  0.94776119  0.97014925  0.95522388  0.93283582
  0.92537313  0.97761194  0.94029851  0.94776119  0.94029851  0.95522388
  0.95522388  0.93283582  0.97014925  0.96268657  0.97014925  0.93283582
  0.96268657  0.98507463  0.92537313  0.94776119  0.94029851  0.94029851
  0.96268657  0.93283582  0.94029851  0.92537313  0.95522388  0.94029851
  0.97014925  0.91791045  0.96268657  0.93283582  0.94776119  0.95522388
  0.95522388  0.94776119  0.94776119  0.96268657  0.95522388  0.94776119
  0.93283582  0.95522388  0.91044776  0.91791045  0.96268657  0.96268657
  0.94029851  0.93283582  0.96268657  0.97761194  0.94029851  0.97014925
  0.97014925  0.91044776  0.93283582  0.94029851  0.93283582  0.94029851
  0.93283582  0.96268657  0.93283582  0.93283582  0.94776119  0.92537313
  0.90298507  0.96268657  0.8880597   0.93283582  0.92537313  0.96268657
  0.92537313  0.94029851  0.94776119  0.94029851  0.92537313  0.96268657
  0.94029851  0.96268657  0.96268657  0.97761194  0.90298507  0.94029851
  0.93283582  0.93283582  0.93283582  0.91791045  0.91791045  0.94776119
  0.94029851  0.95522388  0.94029851  0.91791045  0.94029851  0.96268657
  0.96268657  0.94029851  0.94776119  0.93283582]"
5,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__LR,0.885885885886,0.0315169987562,"{'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': 1, 'random_state': 0, 'C': 0.6000000000000001, 'max_iter': 50, 'fit_intercept': True}",0.881119402985,0.0241877403041,"[ 0.85074627  0.91044776  0.8880597   0.86567164  0.8880597   0.85820896
  0.88059701  0.90298507  0.8880597   0.86567164  0.87313433  0.86567164
  0.92537313  0.8880597   0.93283582  0.89552239  0.90298507  0.87313433
  0.90298507  0.89552239  0.86567164  0.84328358  0.85074627  0.91791045
  0.91044776  0.8880597   0.91044776  0.8880597   0.90298507  0.87313433
  0.91791045  0.87313433  0.90298507  0.88059701  0.87313433  0.87313433
  0.86567164  0.91044776  0.89552239  0.85074627  0.90298507  0.8880597
  0.88059701  0.90298507  0.8358209   0.86567164  0.8880597   0.91044776
  0.86567164  0.90298507  0.91044776  0.91044776  0.88059701  0.90298507
  0.91791045  0.86567164  0.8358209   0.85074627  0.85820896  0.88059701
  0.85074627  0.89552239  0.89552239  0.87313433  0.88059701  0.82089552
  0.82089552  0.91791045  0.8358209   0.88059701  0.84328358  0.88059701
  0.89552239  0.8880597   0.85820896  0.8880597   0.85820896  0.89552239
  0.89552239  0.88059701  0.91044776  0.89552239  0.88059701  0.87313433
  0.85820896  0.88059701  0.88059701  0.84328358  0.89552239  0.82835821
  0.88059701  0.89552239  0.8880597   0.88059701  0.88059701  0.88059701
  0.92537313  0.87313433  0.86567164  0.8358209 ]"
6,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__RF,0.89039039039,0.0242881700228,"{'class_weight': None, 'criterion': 'gini', 'min_weight_fraction_leaf': 0.0, 'n_jobs': 1, 'max_features': 0.5, 'random_state': 0, 'min_samples_leaf': 1, 'warm_start': False, 'verbose': 0, 'n_estimators': 100, 'min_samples_split': 2, 'max_leaf_nodes': None, 'oob_score': False, 'max_depth': 5, 'bootstrap': True}",0.887313432836,0.0230136476793,"[ 0.86567164  0.90298507  0.88059701  0.88059701  0.89552239  0.86567164
  0.86567164  0.89552239  0.90298507  0.87313433  0.86567164  0.89552239
  0.91044776  0.89552239  0.89552239  0.89552239  0.90298507  0.87313433
  0.91791045  0.94029851  0.86567164  0.85074627  0.86567164  0.88059701
  0.91044776  0.91791045  0.91044776  0.8880597   0.87313433  0.89552239
  0.93283582  0.87313433  0.90298507  0.90298507  0.8880597   0.90298507
  0.8880597   0.89552239  0.91044776  0.90298507  0.93283582  0.91791045
  0.89552239  0.89552239  0.85074627  0.87313433  0.91791045  0.89552239
  0.88059701  0.90298507  0.8880597   0.90298507  0.8880597   0.91044776
  0.90298507  0.8880597   0.85820896  0.87313433  0.8880597   0.8880597
  0.84328358  0.92537313  0.91791045  0.8880597   0.89552239  0.85820896
  0.87313433  0.91791045  0.81343284  0.85820896  0.85820896  0.89552239
  0.88059701  0.88059701  0.84328358  0.89552239  0.85074627  0.91791045
  0.8880597   0.91044776  0.89552239  0.90298507  0.87313433  0.88059701
  0.85820896  0.85074627  0.89552239  0.85820896  0.91044776  0.88059701
  0.8880597   0.8880597   0.8880597   0.85074627  0.88059701  0.89552239
  0.92537313  0.85820896  0.85820896  0.85074627]"
7,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__GBT,0.894894894895,0.0222833137467,"{'colsample_bytree': 1.0, 'nthread': 1, 'seed': 0, 'n_estimators': 100, 'base_score': 0.5, 'silent': True, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 2, 'subsample': 1.0, 'objective': 'binary:logistic'}",0.893507462687,0.0219066398334,"[ 0.87313433  0.92537313  0.89552239  0.89552239  0.8880597   0.87313433
  0.86567164  0.91044776  0.88059701  0.85820896  0.88059701  0.90298507
  0.94029851  0.89552239  0.91044776  0.90298507  0.90298507  0.8880597
  0.91044776  0.93283582  0.86567164  0.86567164  0.85820896  0.92537313
  0.91044776  0.91791045  0.91044776  0.89552239  0.87313433  0.90298507
  0.93283582  0.87313433  0.91044776  0.89552239  0.89552239  0.91044776
  0.8880597   0.88059701  0.90298507  0.90298507  0.93283582  0.91791045
  0.91044776  0.89552239  0.84328358  0.87313433  0.91791045  0.91044776
  0.89552239  0.91044776  0.89552239  0.90298507  0.89552239  0.90298507
  0.91044776  0.89552239  0.85820896  0.87313433  0.90298507  0.89552239
  0.87313433  0.91044776  0.91791045  0.89552239  0.89552239  0.87313433
  0.86567164  0.92537313  0.81343284  0.8880597   0.86567164  0.90298507
  0.86567164  0.87313433  0.86567164  0.89552239  0.88059701  0.91044776
  0.91791045  0.91791045  0.91791045  0.89552239  0.8880597   0.8880597
  0.86567164  0.86567164  0.90298507  0.88059701  0.91044776  0.89552239
  0.91791045  0.89552239  0.8880597   0.86567164  0.88059701  0.89552239
  0.93283582  0.87313433  0.86567164  0.88059701]"
8,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__SGD,0.891891891892,0.0299457030912,"{'class_weight': None, 'verbose': 0, 'eta0': 0.0, 'l1_ratio': 0, 'epsilon': 0.1, 'n_jobs': -1, 'learning_rate': 'optimal', 'n_iter': 100, 'penalty': 'elasticnet', 'random_state': 0, 'loss': 'hinge', 'power_t': 0.5, 'shuffle': True, 'alpha': 0.01, 'fit_intercept': True}",0.892014925373,0.0241462601691,"[ 0.86567164  0.94029851  0.89552239  0.8880597   0.89552239  0.86567164
  0.88059701  0.91044776  0.91044776  0.87313433  0.8880597   0.90298507
  0.94029851  0.89552239  0.93283582  0.91791045  0.92537313  0.88059701
  0.91791045  0.93283582  0.85820896  0.86567164  0.86567164  0.91044776
  0.92537313  0.90298507  0.92537313  0.88059701  0.90298507  0.89552239
  0.92537313  0.88059701  0.90298507  0.89552239  0.88059701  0.89552239
  0.90298507  0.91791045  0.8880597   0.89552239  0.92537313  0.91791045
  0.89552239  0.89552239  0.84328358  0.85820896  0.90298507  0.91791045
  0.89552239  0.91044776  0.90298507  0.91044776  0.8880597   0.91044776
  0.92537313  0.8880597   0.85074627  0.85820896  0.88059701  0.88059701
  0.85820896  0.91791045  0.89552239  0.87313433  0.8880597   0.85074627
  0.85820896  0.92537313  0.81343284  0.87313433  0.85820896  0.8880597
  0.88059701  0.90298507  0.85820896  0.89552239  0.85074627  0.90298507
  0.91044776  0.89552239  0.91791045  0.91791045  0.8880597   0.8880597
  0.88059701  0.8880597   0.8880597   0.85074627  0.91791045  0.86567164
  0.89552239  0.89552239  0.8880597   0.87313433  0.87313433  0.90298507
  0.92537313  0.88059701  0.85820896  0.87313433]"
9,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__SVC,0.893393393393,0.0202858027335,"{'gamma': 0.1, 'kernel': 'rbf', 'random_state': 0, 'C': 0.5, 'max_iter': 100, 'shrinking': True, 'degree': 2}",0.888805970149,0.0239155527746,"[ 0.86567164  0.94029851  0.86567164  0.8880597   0.8880597   0.86567164
  0.87313433  0.92537313  0.91791045  0.85820896  0.87313433  0.86567164
  0.92537313  0.89552239  0.91044776  0.90298507  0.92537313  0.8880597
  0.91044776  0.86567164  0.87313433  0.85074627  0.85820896  0.92537313
  0.91791045  0.91791045  0.91044776  0.8880597   0.89552239  0.91044776
  0.91044776  0.87313433  0.90298507  0.8880597   0.88059701  0.8880597
  0.88059701  0.91044776  0.8880597   0.89552239  0.93283582  0.91791045
  0.89552239  0.8880597   0.84328358  0.86567164  0.8880597   0.91044776
  0.89552239  0.91044776  0.90298507  0.90298507  0.87313433  0.91791045
  0.92537313  0.86567164  0.85820896  0.86567164  0.87313433  0.88059701
  0.86567164  0.94029851  0.91791045  0.87313433  0.8880597   0.86567164
  0.86567164  0.92537313  0.82835821  0.86567164  0.85820896  0.8880597
  0.8880597   0.89552239  0.85074627  0.89552239  0.86567164  0.89552239
  0.8880597   0.90298507  0.90298507  0.92537313  0.8880597   0.8880597
  0.8880597   0.87313433  0.8880597   0.85820896  0.8880597   0.84328358
  0.8880597   0.8880597   0.8880597   0.87313433  0.87313433  0.91791045
  0.93283582  0.86567164  0.85820896  0.85820896]"
10,-__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__LR,0.842342342342,0.0619126796893,"{'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': 1, 'random_state': 0, 'C': 0.9500000000000001, 'max_iter': 50, 'fit_intercept': True}",0.83776119403,0.0304898012376,"[ 0.79104478  0.86567164  0.86567164  0.8358209   0.82835821  0.78358209
  0.81343284  0.82835821  0.85074627  0.82835821  0.84328358  0.81343284
  0.88059701  0.8358209   0.88059701  0.85820896  0.86567164  0.86567164
  0.87313433  0.8358209   0.84328358  0.78358209  0.82835821  0.88059701
  0.88059701  0.78358209  0.84328358  0.80597015  0.85820896  0.85820896
  0.8880597   0.80597015  0.8880597   0.8880597   0.81343284  0.82089552
  0.79104478  0.8358209   0.85820896  0.82089552  0.86567164  0.82835821
  0.79104478  0.79104478  0.85074627  0.81343284  0.87313433  0.86567164
  0.7761194   0.88059701  0.89552239  0.84328358  0.85074627  0.85074627
  0.85074627  0.8358209   0.82089552  0.81343284  0.82089552  0.84328358
  0.80597015  0.87313433  0.85820896  0.85820896  0.85820896  0.78358209
  0.7761194   0.85074627  0.7761194   0.84328358  0.79850746  0.8358209
  0.82835821  0.86567164  0.85074627  0.82835821  0.8358209   0.87313433
  0.82089552  0.86567164  0.82089552  0.86567164  0.85074627  0.80597015
  0.80597015  0.8358209   0.82835821  0.78358209  0.87313433  0.84328358
  0.87313433  0.84328358  0.82089552  0.81343284  0.8358209   0.82835821
  0.90298507  0.85074627  0.79850746  0.82835821]"
