,norm,base_features,pairwise_features,scaler,classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores
0,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__LR,0.930878552972,0.0214159996569,"{'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': 1, 'random_state': 0, 'C': 0.9, 'max_iter': 50, 'fit_intercept': True}",0.929516129032,0.0118994661429,"[ 0.94193548  0.93225806  0.93548387  0.91935484  0.9483871   0.91612903
  0.91935484  0.91935484  0.93548387  0.90645161  0.91935484  0.92580645
  0.9483871   0.92258065  0.90967742  0.9483871   0.92580645  0.93548387
  0.92580645  0.93225806  0.92580645  0.94516129  0.90967742  0.91935484
  0.92258065  0.92258065  0.94193548  0.92903226  0.92903226  0.93548387
  0.91612903  0.92903226  0.93225806  0.92258065  0.92258065  0.93225806
  0.92903226  0.94193548  0.93548387  0.91935484  0.93870968  0.9516129
  0.94193548  0.92258065  0.91612903  0.91612903  0.93225806  0.93225806
  0.92580645  0.94193548  0.96451613  0.92580645  0.91290323  0.93870968
  0.95483871  0.92580645  0.91935484  0.91935484  0.90645161  0.91935484
  0.91935484  0.9483871   0.93548387  0.94193548  0.92258065  0.91612903
  0.93870968  0.92580645  0.93548387  0.93225806  0.93548387  0.91935484
  0.92580645  0.93548387  0.93225806  0.94516129  0.92258065  0.92903226
  0.92258065  0.91290323  0.94516129  0.94193548  0.92258065  0.94516129
  0.91612903  0.92580645  0.90967742  0.92258065  0.9483871   0.92903226
  0.94516129  0.92580645  0.91935484  0.9483871   0.93225806  0.94193548
  0.93870968  0.90322581  0.92903226  0.92903226]"
1,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__RF,0.928294573643,0.0259999245944,"{'class_weight': None, 'criterion': 'gini', 'min_weight_fraction_leaf': 0.0, 'n_jobs': 1, 'max_features': 0.5, 'random_state': 0, 'min_samples_leaf': 1, 'warm_start': False, 'verbose': 0, 'n_estimators': 100, 'min_samples_split': 2, 'max_leaf_nodes': None, 'oob_score': False, 'max_depth': 7, 'bootstrap': True}",0.927032258065,0.0131965057022,"[ 0.95483871  0.93548387  0.94193548  0.90967742  0.92903226  0.92580645
  0.91290323  0.90967742  0.93225806  0.90967742  0.92903226  0.90645161
  0.94193548  0.93548387  0.90322581  0.96129032  0.92258065  0.95483871
  0.93870968  0.91612903  0.92580645  0.9516129   0.90645161  0.92258065
  0.91935484  0.91612903  0.94516129  0.93548387  0.91290323  0.93548387
  0.93225806  0.93225806  0.93548387  0.91612903  0.92258065  0.93548387
  0.93225806  0.93870968  0.94193548  0.92580645  0.92903226  0.94516129
  0.9483871   0.91935484  0.90645161  0.92580645  0.92580645  0.92258065
  0.92580645  0.93225806  0.9483871   0.94193548  0.91290323  0.93548387
  0.94516129  0.90967742  0.92580645  0.92580645  0.90645161  0.93548387
  0.91935484  0.94193548  0.91935484  0.92903226  0.92258065  0.90967742
  0.92258065  0.92580645  0.93548387  0.93225806  0.93548387  0.92258065
  0.92258065  0.93225806  0.91290323  0.93548387  0.92258065  0.91935484
  0.91290323  0.90967742  0.93225806  0.92258065  0.91935484  0.93225806
  0.90645161  0.92903226  0.9         0.92580645  0.94516129  0.93548387
  0.92580645  0.92903226  0.90645161  0.9483871   0.92903226  0.94193548
  0.93870968  0.90645161  0.90645161  0.91612903]"
2,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__GBT,0.934108527132,0.021028123055,"{'colsample_bytree': 1.0, 'nthread': 1, 'seed': 0, 'n_estimators': 100, 'base_score': 0.5, 'silent': True, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.6, 'objective': 'binary:logistic'}",0.930387096774,0.0122595924345,"[ 0.95483871  0.94516129  0.93225806  0.91290323  0.93225806  0.93870968
  0.92580645  0.91612903  0.93870968  0.91935484  0.93225806  0.90322581
  0.94193548  0.92903226  0.91290323  0.95483871  0.92903226  0.9483871
  0.92580645  0.91290323  0.93870968  0.9516129   0.90645161  0.91935484
  0.92258065  0.92258065  0.9483871   0.92903226  0.91612903  0.93548387
  0.92903226  0.93548387  0.93548387  0.91935484  0.92580645  0.93548387
  0.93548387  0.93870968  0.93870968  0.93225806  0.93870968  0.96129032
  0.9516129   0.92580645  0.91290323  0.93225806  0.91612903  0.92903226
  0.92258065  0.93548387  0.95806452  0.94193548  0.91290323  0.92903226
  0.94516129  0.91612903  0.93225806  0.92258065  0.90322581  0.93225806
  0.92258065  0.93870968  0.91612903  0.93548387  0.92580645  0.91290323
  0.93870968  0.92903226  0.94193548  0.93548387  0.93870968  0.92258065
  0.92580645  0.93870968  0.92258065  0.93548387  0.92903226  0.91935484
  0.92258065  0.92258065  0.93870968  0.93225806  0.92580645  0.94193548
  0.91612903  0.93548387  0.91612903  0.92903226  0.95483871  0.9483871
  0.92903226  0.92903226  0.92258065  0.9483871   0.92580645  0.93225806
  0.94193548  0.90967742  0.91935484  0.92580645]"
3,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__SGD,0.937338501292,0.0205245229826,"{'class_weight': None, 'verbose': 0, 'eta0': 0.0, 'l1_ratio': 0.6, 'epsilon': 0.1, 'n_jobs': -1, 'learning_rate': 'optimal', 'n_iter': 100, 'penalty': 'elasticnet', 'random_state': 0, 'loss': 'hinge', 'power_t': 0.5, 'shuffle': True, 'alpha': 0.001, 'fit_intercept': True}",0.935774193548,0.0116137544491,"[ 0.9516129   0.93870968  0.93548387  0.92258065  0.94516129  0.92903226
  0.91935484  0.92258065  0.9483871   0.91935484  0.92258065  0.91935484
  0.9516129   0.93870968  0.91935484  0.95806452  0.92903226  0.94516129
  0.93225806  0.93225806  0.93225806  0.9483871   0.90645161  0.92903226
  0.92903226  0.92258065  0.94193548  0.93548387  0.93225806  0.94516129
  0.92903226  0.93548387  0.94193548  0.92258065  0.92580645  0.93548387
  0.93870968  0.94193548  0.95483871  0.92903226  0.94193548  0.95483871
  0.94516129  0.92903226  0.91935484  0.92580645  0.93225806  0.93548387
  0.92580645  0.94516129  0.96774194  0.92903226  0.92903226  0.93548387
  0.96451613  0.92903226  0.92580645  0.92903226  0.90967742  0.91935484
  0.92903226  0.94516129  0.9483871   0.9516129   0.93548387  0.92258065
  0.94516129  0.93870968  0.93870968  0.94516129  0.93870968  0.93225806
  0.92580645  0.94193548  0.94193548  0.9483871   0.93225806  0.92903226
  0.93548387  0.92580645  0.94516129  0.94193548  0.93548387  0.94516129
  0.92258065  0.93225806  0.92258065  0.93548387  0.96774194  0.9516129
  0.94193548  0.94193548  0.92903226  0.9516129   0.93548387  0.9483871
  0.93548387  0.92258065  0.93225806  0.93548387]"
4,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__SVC,0.885012919897,0.0148327192599,"{'gamma': 0.2, 'kernel': 'sigmoid', 'random_state': 0, 'C': 0.5, 'max_iter': 100, 'shrinking': True, 'degree': 2}",0.907193548387,0.0139558915684,"[ 0.92258065  0.92258065  0.87741935  0.87741935  0.92258065  0.90645161
  0.88709677  0.90967742  0.92580645  0.89032258  0.91290323  0.90322581
  0.92903226  0.89032258  0.89677419  0.92258065  0.89677419  0.92580645
  0.91290323  0.91935484  0.89677419  0.94193548  0.88709677  0.90967742
  0.91935484  0.89677419  0.90322581  0.88709677  0.90322581  0.88387097
  0.90645161  0.90645161  0.90967742  0.89677419  0.90967742  0.9
  0.90645161  0.90645161  0.92580645  0.90645161  0.91612903  0.94193548
  0.91935484  0.89354839  0.90645161  0.9         0.91935484  0.89354839
  0.89354839  0.91290323  0.92580645  0.90645161  0.89032258  0.91935484
  0.91290323  0.88064516  0.88709677  0.90645161  0.89354839  0.90322581
  0.9         0.92580645  0.90322581  0.90645161  0.90322581  0.88387097
  0.91935484  0.90645161  0.90322581  0.92258065  0.90967742  0.87741935
  0.90322581  0.90967742  0.91935484  0.92258065  0.90967742  0.91612903
  0.89354839  0.90645161  0.9         0.91290323  0.90322581  0.91290323
  0.90967742  0.91290323  0.89677419  0.91290323  0.89354839  0.92903226
  0.91935484  0.92258065  0.9         0.90645161  0.92903226  0.92580645
  0.91612903  0.88387097  0.92258065  0.89032258]"
5,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__LR,0.855943152455,0.0319903637006,"{'penalty': 'l2', 'solver': 'liblinear', 'n_jobs': 1, 'random_state': 0, 'C': 0.4, 'max_iter': 50, 'fit_intercept': True}",0.856193548387,0.0150350267421,"[ 0.88387097  0.85806452  0.85806452  0.83225806  0.85806452  0.83870968
  0.83225806  0.83870968  0.8516129   0.84193548  0.86129032  0.83225806
  0.86129032  0.87419355  0.83548387  0.86774194  0.85806452  0.85483871
  0.85806452  0.86129032  0.86774194  0.89032258  0.83870968  0.82903226
  0.8516129   0.8516129   0.88387097  0.88387097  0.8483871   0.83870968
  0.8483871   0.86774194  0.87096774  0.84193548  0.85806452  0.87741935
  0.84193548  0.86451613  0.85806452  0.8483871   0.85483871  0.86774194
  0.8516129   0.86451613  0.84516129  0.84193548  0.8516129   0.86774194
  0.83870968  0.86774194  0.88064516  0.85806452  0.83548387  0.8516129
  0.87096774  0.84193548  0.84193548  0.85483871  0.83870968  0.84193548
  0.87741935  0.87096774  0.85483871  0.86774194  0.86129032  0.8483871
  0.83548387  0.8516129   0.85806452  0.87096774  0.88387097  0.8483871
  0.87096774  0.86451613  0.86451613  0.86129032  0.83870968  0.86774194
  0.85806452  0.8483871   0.85483871  0.8516129   0.85806452  0.83548387
  0.84516129  0.87096774  0.83225806  0.85483871  0.89032258  0.84193548
  0.87419355  0.85806452  0.82903226  0.88064516  0.8483871   0.85806452
  0.87419355  0.83548387  0.88387097  0.8516129 ]"
6,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__RF,0.868217054264,0.0318457682336,"{'class_weight': None, 'criterion': 'entropy', 'min_weight_fraction_leaf': 0.0, 'n_jobs': 1, 'max_features': 0.5, 'random_state': 0, 'min_samples_leaf': 1, 'warm_start': False, 'verbose': 0, 'n_estimators': 100, 'min_samples_split': 2, 'max_leaf_nodes': None, 'oob_score': False, 'max_depth': 2, 'bootstrap': True}",0.869,0.0154293057377,"[ 0.88387097  0.88064516  0.85483871  0.84516129  0.89354839  0.8516129
  0.8516129   0.86774194  0.86129032  0.83548387  0.88064516  0.86774194
  0.89354839  0.86774194  0.85806452  0.87741935  0.87741935  0.87096774
  0.86774194  0.86129032  0.88387097  0.90645161  0.8483871   0.87096774
  0.88064516  0.8516129   0.89677419  0.88064516  0.85806452  0.86129032
  0.8516129   0.86451613  0.87419355  0.85483871  0.87741935  0.87741935
  0.8516129   0.88709677  0.87741935  0.85483871  0.87419355  0.89354839
  0.88387097  0.86129032  0.85806452  0.84516129  0.86129032  0.86451613
  0.8483871   0.86451613  0.88064516  0.88387097  0.84193548  0.85806452
  0.88709677  0.8516129   0.85483871  0.86451613  0.84516129  0.85806452
  0.87741935  0.88064516  0.86774194  0.87419355  0.86451613  0.87096774
  0.87419355  0.86129032  0.87419355  0.86451613  0.89354839  0.86129032
  0.87096774  0.88064516  0.89032258  0.87096774  0.84516129  0.87419355
  0.87096774  0.85806452  0.87419355  0.88064516  0.86451613  0.84516129
  0.83225806  0.87741935  0.8516129   0.86774194  0.90967742  0.87419355
  0.88709677  0.86451613  0.86451613  0.90322581  0.86774194  0.88064516
  0.89032258  0.8483871   0.87741935  0.87419355]"
7,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__GBT,0.87015503876,0.0314062159165,"{'colsample_bytree': 1.0, 'nthread': 1, 'seed': 0, 'n_estimators': 100, 'base_score': 0.5, 'silent': True, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 2, 'subsample': 1.0, 'objective': 'binary:logistic'}",0.869,0.0147465228975,"[ 0.88387097  0.88709677  0.85483871  0.8483871   0.88709677  0.8483871
  0.85483871  0.87741935  0.85483871  0.84193548  0.87741935  0.86774194
  0.89032258  0.86451613  0.86129032  0.87096774  0.87741935  0.86774194
  0.86774194  0.87096774  0.87419355  0.90322581  0.84516129  0.86774194
  0.87419355  0.85483871  0.9         0.88064516  0.8483871   0.86129032
  0.8483871   0.86774194  0.87096774  0.85483871  0.87419355  0.88064516
  0.85806452  0.88709677  0.88064516  0.86129032  0.87419355  0.89032258
  0.88064516  0.86774194  0.8516129   0.84516129  0.86451613  0.85806452
  0.84516129  0.87096774  0.88064516  0.88064516  0.83548387  0.86129032
  0.89032258  0.85806452  0.8516129   0.86129032  0.84516129  0.86129032
  0.87419355  0.88064516  0.86774194  0.87096774  0.87096774  0.87419355
  0.87096774  0.86774194  0.88064516  0.85806452  0.88709677  0.87096774
  0.87741935  0.87419355  0.89032258  0.87419355  0.8483871   0.87096774
  0.87741935  0.86129032  0.87419355  0.87741935  0.86451613  0.84516129
  0.8516129   0.87096774  0.8483871   0.86451613  0.90967742  0.88064516
  0.88387097  0.86774194  0.86451613  0.90967742  0.86129032  0.87419355
  0.88387097  0.8516129   0.87419355  0.87096774]"
8,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__SGD,0.868217054264,0.0302282538485,"{'class_weight': None, 'verbose': 0, 'eta0': 0.0, 'l1_ratio': 0.4, 'epsilon': 0.1, 'n_jobs': -1, 'learning_rate': 'optimal', 'n_iter': 200, 'penalty': 'elasticnet', 'random_state': 0, 'loss': 'hinge', 'power_t': 0.5, 'shuffle': True, 'alpha': 0.001, 'fit_intercept': True}",0.864741935484,0.0147702135786,"[ 0.88387097  0.88709677  0.86451613  0.83548387  0.87741935  0.85806452
  0.84516129  0.86129032  0.8516129   0.84516129  0.86774194  0.85483871
  0.87419355  0.87419355  0.83548387  0.87741935  0.86451613  0.86774194
  0.86129032  0.87741935  0.87419355  0.89354839  0.8483871   0.84193548
  0.87096774  0.8483871   0.89032258  0.89032258  0.86129032  0.86774194
  0.85483871  0.87096774  0.87096774  0.84193548  0.86451613  0.88709677
  0.84516129  0.87419355  0.86774194  0.86129032  0.86774194  0.87419355
  0.85806452  0.87419355  0.84193548  0.83548387  0.85806452  0.86129032
  0.85483871  0.88064516  0.88064516  0.86774194  0.84193548  0.85483871
  0.88387097  0.8483871   0.8516129   0.86129032  0.8516129   0.84193548
  0.88064516  0.88709677  0.86774194  0.87741935  0.86774194  0.86129032
  0.85806452  0.85806452  0.86774194  0.87096774  0.89032258  0.85483871
  0.86774194  0.87741935  0.87741935  0.88387097  0.85806452  0.86451613
  0.86451613  0.8516129   0.86774194  0.86129032  0.8516129   0.8483871
  0.84516129  0.87096774  0.85483871  0.86129032  0.89354839  0.86129032
  0.87096774  0.86774194  0.84516129  0.9         0.85806452  0.86451613
  0.9         0.8483871   0.87741935  0.85806452]"
9,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__SVC,0.769379844961,0.0816214755737,"{'gamma': 0.2, 'kernel': 'sigmoid', 'random_state': 0, 'C': 0.05, 'max_iter': 50, 'shrinking': True, 'degree': 2}",0.687548387097,0.152256711312,"[ 0.83870968  0.83225806  0.79677419  0.80645161  0.84193548  0.30967742
  0.80322581  0.61935484  0.65483871  0.29032258  0.63548387  0.68064516
  0.63870968  0.79032258  0.66451613  0.62258065  0.68387097  0.64516129
  0.62258065  0.79032258  0.2483871   0.67419355  0.72903226  0.80322581
  0.18387097  0.61612903  0.15806452  0.80967742  0.78387097  0.64516129
  0.76129032  0.30967742  0.58387097  0.7483871   0.65806452  0.81290323
  0.6483871   0.67741935  0.81612903  0.72903226  0.78709677  0.8
  0.23548387  0.65483871  0.7516129   0.78709677  0.8         0.8516129
  0.64193548  0.8         0.67096774  0.63548387  0.8         0.67741935
  0.84516129  0.79032258  0.78387097  0.66774194  0.53870968  0.61935484
  0.75483871  0.71612903  0.63548387  0.66451613  0.80322581  0.66774194
  0.72580645  0.63225806  0.64193548  0.79677419  0.84516129  0.63548387
  0.79354839  0.66129032  0.67741935  0.78387097  0.76451613  0.68387097
  0.85806452  0.64193548  0.80967742  0.66451613  0.80645161  0.75483871
  0.64193548  0.81290323  0.78709677  0.80645161  0.76774194  0.82258065
  0.2         0.63548387  0.79032258  0.67096774  0.65483871  0.7516129
  0.77096774  0.66451613  0.63548387  0.81935484]"
10,-__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__LR,0.818475452196,0.0404085191439,"{'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': 1, 'random_state': 0, 'C': 0.9500000000000001, 'max_iter': 50, 'fit_intercept': True}",0.816064516129,0.0181620638121,"[ 0.84193548  0.81935484  0.82903226  0.79354839  0.85483871  0.79677419
  0.80322581  0.80967742  0.82903226  0.78387097  0.83548387  0.80322581
  0.8483871   0.82580645  0.79677419  0.82258065  0.83225806  0.82903226
  0.81612903  0.81612903  0.78709677  0.83870968  0.79354839  0.8
  0.80322581  0.8         0.83870968  0.83870968  0.82903226  0.79354839
  0.77741935  0.81290323  0.81612903  0.80967742  0.81290323  0.83225806
  0.80322581  0.84516129  0.81612903  0.8         0.80322581  0.82580645
  0.81612903  0.82903226  0.79354839  0.81290323  0.80645161  0.80645161
  0.82580645  0.82580645  0.84516129  0.80967742  0.79677419  0.79032258
  0.8         0.79354839  0.81612903  0.8         0.82258065  0.81290323
  0.82580645  0.83225806  0.82258065  0.83225806  0.8         0.79354839
  0.79032258  0.81612903  0.83548387  0.81935484  0.84193548  0.82903226
  0.80322581  0.81935484  0.81935484  0.82580645  0.80645161  0.83870968
  0.83225806  0.81612903  0.82258065  0.81290323  0.81935484  0.80967742
  0.76774194  0.83225806  0.80322581  0.81935484  0.8483871   0.80967742
  0.81612903  0.82580645  0.79354839  0.86451613  0.81612903  0.80645161
  0.84516129  0.78064516  0.80645161  0.83870968]"
11,-__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__RF,0.804909560724,0.0316624314559,"{'class_weight': None, 'criterion': 'gini', 'min_weight_fraction_leaf': 0.0, 'n_jobs': 1, 'max_features': 0.5, 'random_state': 0, 'min_samples_leaf': 1, 'warm_start': False, 'verbose': 0, 'n_estimators': 100, 'min_samples_split': 2, 'max_leaf_nodes': None, 'oob_score': False, 'max_depth': 7, 'bootstrap': True}",0.804064516129,0.0206432458789,"[ 0.82903226  0.79677419  0.77741935  0.77741935  0.83548387  0.80967742
  0.79354839  0.79354839  0.83870968  0.81612903  0.82258065  0.82258065
  0.81935484  0.78387097  0.79677419  0.82258065  0.8         0.81290323
  0.79032258  0.78709677  0.79677419  0.80645161  0.76451613  0.76774194
  0.79354839  0.76774194  0.81935484  0.79032258  0.77419355  0.80645161
  0.79354839  0.79677419  0.80322581  0.80322581  0.76451613  0.77096774
  0.80967742  0.77741935  0.78709677  0.79032258  0.78387097  0.80322581
  0.78709677  0.83225806  0.81290323  0.78387097  0.80645161  0.8
  0.79354839  0.8         0.8483871   0.84516129  0.78387097  0.77419355
  0.81612903  0.76774194  0.79032258  0.83225806  0.81612903  0.78709677
  0.80322581  0.82903226  0.80645161  0.79032258  0.8         0.81935484
  0.81935484  0.82903226  0.80967742  0.79677419  0.82903226  0.83548387
  0.79677419  0.82258065  0.80645161  0.81935484  0.79677419  0.8516129
  0.79354839  0.8         0.80322581  0.79032258  0.79354839  0.78709677
  0.77419355  0.82258065  0.79354839  0.81935484  0.81612903  0.80645161
  0.80967742  0.83225806  0.8         0.84516129  0.79032258  0.80645161
  0.83225806  0.79354839  0.8         0.86129032]"
12,-__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__GBT,0.825581395349,0.0239754831041,"{'colsample_bytree': 1.0, 'nthread': 1, 'seed': 0, 'n_estimators': 100, 'base_score': 0.5, 'silent': True, 'gamma': 0, 'learning_rate': 0.2, 'max_depth': 3, 'subsample': 0.9, 'objective': 'binary:logistic'}",0.816387096774,0.0184671714238,"[ 0.8516129   0.81935484  0.80322581  0.79354839  0.80967742  0.82580645
  0.83548387  0.81290323  0.82258065  0.81290323  0.82580645  0.82258065
  0.83870968  0.80967742  0.84193548  0.82903226  0.82903226  0.83225806
  0.8         0.80322581  0.80967742  0.82258065  0.76774194  0.80967742
  0.83225806  0.79032258  0.81290323  0.81612903  0.79354839  0.80967742
  0.80967742  0.79677419  0.80645161  0.79032258  0.78387097  0.80967742
  0.80322581  0.80645161  0.79354839  0.81935484  0.81612903  0.81935484
  0.79677419  0.81935484  0.81612903  0.80322581  0.83225806  0.80645161
  0.8         0.82580645  0.86774194  0.82903226  0.78709677  0.8
  0.80645161  0.79354839  0.83548387  0.82258065  0.82903226  0.8
  0.82903226  0.8516129   0.82903226  0.81612903  0.80322581  0.80322581
  0.82258065  0.83548387  0.83225806  0.82580645  0.82258065  0.82580645
  0.78709677  0.83225806  0.8         0.82580645  0.80967742  0.84516129
  0.81935484  0.81290323  0.81612903  0.8         0.80967742  0.8
  0.80322581  0.83225806  0.80645161  0.82258065  0.83870968  0.80967742
  0.83870968  0.8483871   0.8         0.85806452  0.79354839  0.83870968
  0.80967742  0.79032258  0.80967742  0.87419355]"
13,-__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__SGD,0.831395348837,0.0377262940057,"{'class_weight': None, 'verbose': 0, 'eta0': 0.0, 'l1_ratio': 1.0, 'epsilon': 0.1, 'n_jobs': -1, 'learning_rate': 'optimal', 'n_iter': 200, 'penalty': 'elasticnet', 'random_state': 0, 'loss': 'modified_huber', 'power_t': 0.5, 'shuffle': True, 'alpha': 0.001, 'fit_intercept': True}",0.825516129032,0.020690952242,"[ 0.85483871  0.83548387  0.8483871   0.80645161  0.85483871  0.81290323
  0.82903226  0.81290323  0.82258065  0.80322581  0.8516129   0.81612903
  0.85806452  0.83870968  0.81290323  0.80645161  0.81935484  0.8483871
  0.80645161  0.81612903  0.81935484  0.86129032  0.79677419  0.79354839
  0.83548387  0.80967742  0.83870968  0.85806452  0.83225806  0.81612903
  0.7516129   0.83870968  0.8516129   0.82258065  0.83870968  0.82903226
  0.79677419  0.8516129   0.83870968  0.8         0.81935484  0.8483871
  0.81290323  0.80967742  0.82580645  0.81935484  0.80645161  0.81612903
  0.84193548  0.83870968  0.85806452  0.81935484  0.83225806  0.79677419
  0.82580645  0.77741935  0.81935484  0.83548387  0.81935484  0.8
  0.81612903  0.85806452  0.81935484  0.85806452  0.82258065  0.8
  0.83225806  0.81935484  0.8483871   0.81935484  0.84193548  0.81290323
  0.80645161  0.82580645  0.82580645  0.84193548  0.80322581  0.83225806
  0.8483871   0.82580645  0.82580645  0.83548387  0.81290323  0.80322581
  0.79032258  0.84193548  0.81935484  0.84193548  0.87419355  0.81935484
  0.83870968  0.83225806  0.80322581  0.87096774  0.82258065  0.8
  0.84516129  0.80967742  0.81290323  0.83548387]"
14,-__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__SVC,0.669250645995,0.058422063616,"{'gamma': 0.1, 'kernel': 'sigmoid', 'random_state': 0, 'C': 0.1, 'max_iter': 100, 'shrinking': True, 'degree': 2}",0.67235483871,0.0707081101192,"[ 0.70645161  0.70967742  0.69354839  0.68387097  0.73225806  0.65483871
  0.69354839  0.69032258  0.68387097  0.61612903  0.67741935  0.67096774
  0.71290323  0.71935484  0.6516129   0.67741935  0.69032258  0.70322581
  0.66774194  0.6483871   0.69677419  0.74516129  0.68064516  0.66129032
  0.66451613  0.59032258  0.71935484  0.73870968  0.68387097  0.69032258
  0.70645161  0.6483871   0.66451613  0.31612903  0.67419355  0.68064516
  0.7         0.71935484  0.60322581  0.69032258  0.69354839  0.59677419
  0.69032258  0.64516129  0.72258065  0.67096774  0.69354839  0.68709677
  0.69354839  0.66774194  0.69032258  0.73225806  0.66451613  0.69032258
  0.73225806  0.66129032  0.69354839  0.69677419  0.67096774  0.72258065
  0.64193548  0.26451613  0.69354839  0.67096774  0.72903226  0.68064516
  0.67741935  0.69354839  0.59677419  0.72258065  0.73548387  0.68709677
  0.67419355  0.68064516  0.73548387  0.71290323  0.68064516  0.72258065
  0.73225806  0.65483871  0.49354839  0.71290323  0.60967742  0.64516129
  0.68709677  0.60967742  0.67096774  0.68387097  0.46129032  0.68709677
  0.6483871   0.69677419  0.69354839  0.72258065  0.70322581  0.60645161
  0.75483871  0.66129032  0.72580645  0.7       ]"
15,-__param,betweenness_centrality__param,l1_l2_linf__param,standard__None,grid__LR,0.93023255814,0.0234577650566,"{'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': 1, 'random_state': 0, 'C': 0.65, 'max_iter': 50, 'fit_intercept': True}",0.926709677419,0.0132382317715,"[ 0.96129032  0.92903226  0.93548387  0.91290323  0.92903226  0.9483871
  0.9         0.92580645  0.9516129   0.91935484  0.89354839  0.90322581
  0.89677419  0.93870968  0.92580645  0.92258065  0.92580645  0.93225806
  0.92258065  0.93870968  0.93548387  0.91935484  0.93870968  0.91935484
  0.91935484  0.91935484  0.91612903  0.92903226  0.93225806  0.91935484
  0.90645161  0.93225806  0.92258065  0.93548387  0.92580645  0.93548387
  0.93225806  0.92903226  0.91935484  0.94193548  0.94516129  0.91612903
  0.92903226  0.92903226  0.92258065  0.90322581  0.92903226  0.93548387
  0.92580645  0.93225806  0.91612903  0.93548387  0.94516129  0.93225806
  0.93225806  0.93225806  0.92903226  0.93225806  0.93870968  0.92580645
  0.9483871   0.93225806  0.92903226  0.92903226  0.92580645  0.89677419
  0.91935484  0.93548387  0.91612903  0.91935484  0.92580645  0.91935484
  0.90967742  0.93548387  0.91935484  0.93870968  0.91935484  0.94193548
  0.91290323  0.9516129   0.92258065  0.88709677  0.93225806  0.91612903
  0.93225806  0.92580645  0.92258065  0.9516129   0.94193548  0.92903226
  0.93548387  0.93548387  0.93225806  0.93225806  0.89354839  0.91935484
  0.91935484  0.92580645  0.91935484  0.94193548]"
16,-__param,betweenness_centrality__param,l1_l2_linf__param,standard__None,grid__RF,0.925710594315,0.024363201887,"{'class_weight': None, 'criterion': 'entropy', 'min_weight_fraction_leaf': 0.0, 'n_jobs': 1, 'max_features': 0.5, 'random_state': 0, 'min_samples_leaf': 1, 'warm_start': False, 'verbose': 0, 'n_estimators': 100, 'min_samples_split': 2, 'max_leaf_nodes': None, 'oob_score': False, 'max_depth': 5, 'bootstrap': True}",0.922838709677,0.0133836373299,"[ 0.9516129   0.92903226  0.93548387  0.9         0.91935484  0.93870968
  0.90322581  0.92580645  0.9483871   0.92580645  0.89677419  0.90645161
  0.9         0.93870968  0.92580645  0.93225806  0.90967742  0.93548387
  0.91935484  0.92903226  0.92580645  0.91612903  0.93548387  0.90967742
  0.91935484  0.90645161  0.90645161  0.92258065  0.92903226  0.91612903
  0.90967742  0.92903226  0.91290323  0.94193548  0.91290323  0.93548387
  0.93225806  0.92580645  0.90967742  0.93225806  0.92903226  0.91612903
  0.93225806  0.92580645  0.90322581  0.90645161  0.92580645  0.94516129
  0.92258065  0.91935484  0.90967742  0.93225806  0.9483871   0.92258065
  0.93548387  0.91290323  0.92580645  0.92903226  0.93548387  0.91935484
  0.9516129   0.93225806  0.92258065  0.92258065  0.93225806  0.9
  0.90645161  0.93225806  0.91612903  0.91290323  0.91290323  0.91290323
  0.89677419  0.93548387  0.91612903  0.93548387  0.92258065  0.93548387
  0.90645161  0.94516129  0.93548387  0.88387097  0.90967742  0.92258065
  0.91935484  0.91935484  0.92580645  0.94516129  0.93870968  0.92903226
  0.91612903  0.92903226  0.92580645  0.92580645  0.9         0.91935484
  0.91290323  0.92580645  0.91935484  0.93548387]"
