,norm,base_features,pairwise_features,scaler,classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores
0,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__LR,0.957865168539,0.0380359215055,"{'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': 1, 'random_state': 0, 'C': 0.4, 'max_iter': 50, 'fit_intercept': True}",0.958194444444,0.0179478625915,"[ 0.95833333  0.95833333  0.95833333  0.94444444  0.91666667  0.94444444
  0.93055556  0.97222222  0.93055556  0.95833333  0.98611111  0.95833333
  0.94444444  0.95833333  0.91666667  0.95833333  0.98611111  0.95833333
  0.97222222  0.95833333  0.97222222  0.98611111  0.95833333  0.95833333
  0.97222222  0.95833333  0.95833333  0.94444444  0.95833333  0.98611111
  0.97222222  0.94444444  0.93055556  0.95833333  0.95833333  1.
  0.95833333  0.95833333  0.97222222  0.97222222  0.98611111  0.97222222
  0.94444444  0.94444444  0.93055556  0.94444444  0.95833333  0.97222222
  0.97222222  0.97222222  0.93055556  0.98611111  0.94444444  0.98611111
  0.95833333  0.95833333  0.95833333  0.94444444  0.93055556  0.97222222
  0.93055556  0.95833333  0.95833333  0.94444444  1.          0.93055556
  0.95833333  0.94444444  0.94444444  0.95833333  0.97222222  0.93055556
  0.95833333  0.94444444  0.93055556  1.          0.98611111  0.97222222
  0.95833333  0.97222222  0.94444444  0.94444444  0.97222222  0.97222222
  0.95833333  0.95833333  0.93055556  0.94444444  0.97222222  0.95833333
  0.95833333  0.93055556  0.94444444  0.95833333  0.95833333  0.95833333
  0.97222222  0.98611111  0.95833333  0.97222222]"
1,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__RF,0.955056179775,0.0287360504424,"{'class_weight': None, 'criterion': 'gini', 'min_weight_fraction_leaf': 0.0, 'n_jobs': 1, 'max_features': 0.5, 'random_state': 0, 'min_samples_leaf': 1, 'warm_start': False, 'verbose': 0, 'n_estimators': 100, 'min_samples_split': 2, 'max_leaf_nodes': None, 'oob_score': False, 'max_depth': 5, 'bootstrap': True}",0.954722222222,0.022275976652,"[ 0.94444444  0.95833333  0.94444444  0.94444444  0.91666667  0.93055556
  0.90277778  0.90277778  0.93055556  0.95833333  0.97222222  0.95833333
  0.94444444  0.95833333  0.91666667  0.95833333  0.98611111  0.95833333
  0.97222222  0.95833333  0.97222222  0.97222222  0.94444444  0.94444444
  0.97222222  0.98611111  0.97222222  0.95833333  0.95833333  0.98611111
  0.97222222  0.97222222  0.91666667  0.93055556  0.94444444  0.97222222
  0.97222222  0.94444444  0.97222222  0.97222222  0.98611111  0.95833333
  0.97222222  0.94444444  0.95833333  0.93055556  0.95833333  0.97222222
  0.97222222  0.88888889  0.90277778  0.97222222  0.91666667  0.98611111
  0.95833333  0.94444444  0.97222222  0.95833333  0.94444444  0.95833333
  0.94444444  0.94444444  0.95833333  0.93055556  0.98611111  0.90277778
  0.94444444  0.94444444  0.95833333  0.95833333  0.97222222  0.93055556
  0.97222222  0.93055556  0.91666667  0.97222222  0.98611111  0.97222222
  0.97222222  0.98611111  0.93055556  0.94444444  0.97222222  0.97222222
  0.94444444  0.95833333  0.94444444  0.95833333  0.98611111  0.95833333
  0.95833333  0.91666667  0.95833333  0.95833333  0.94444444  0.97222222
  0.97222222  0.98611111  0.95833333  0.98611111]"
2,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__GBT,0.966292134831,0.0327337458762,"{'colsample_bytree': 1.0, 'nthread': 1, 'seed': 0, 'n_estimators': 100, 'base_score': 0.5, 'silent': True, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.7, 'objective': 'binary:logistic'}",0.959722222222,0.0218281022854,"[ 0.97222222  0.95833333  0.95833333  0.97222222  0.93055556  0.94444444
  0.90277778  0.95833333  0.93055556  0.95833333  0.97222222  0.95833333
  0.93055556  0.95833333  0.93055556  0.95833333  0.98611111  0.98611111
  0.97222222  0.95833333  0.98611111  0.97222222  0.94444444  0.94444444
  0.98611111  0.98611111  0.97222222  0.95833333  0.94444444  1.
  0.98611111  0.95833333  0.93055556  0.93055556  0.94444444  0.98611111
  0.97222222  0.94444444  0.97222222  0.98611111  1.          0.97222222
  0.97222222  0.94444444  0.95833333  0.93055556  0.97222222  0.98611111
  0.97222222  0.93055556  0.90277778  0.98611111  0.93055556  1.
  0.95833333  0.95833333  0.95833333  0.95833333  0.94444444  0.97222222
  0.95833333  0.94444444  0.94444444  0.90277778  0.98611111  0.90277778
  0.94444444  0.95833333  0.95833333  0.95833333  0.97222222  0.94444444
  0.97222222  0.95833333  0.93055556  1.          1.          0.98611111
  0.97222222  0.97222222  0.94444444  0.94444444  0.97222222  0.94444444
  0.95833333  0.97222222  0.94444444  0.95833333  0.95833333  0.95833333
  0.95833333  0.94444444  0.95833333  0.97222222  0.95833333  0.95833333
  0.94444444  1.          0.95833333  0.98611111]"
3,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__SGD,0.966292134831,0.0390038909522,"{'class_weight': None, 'verbose': 0, 'eta0': 0.0, 'l1_ratio': 0.6, 'epsilon': 0.1, 'n_jobs': -1, 'learning_rate': 'optimal', 'n_iter': 200, 'penalty': 'elasticnet', 'random_state': 0, 'loss': 'hinge', 'power_t': 0.5, 'shuffle': True, 'alpha': 0.001, 'fit_intercept': True}",0.960277777778,0.0194464284702,"[ 0.98611111  0.95833333  0.93055556  0.97222222  0.93055556  0.95833333
  0.91666667  0.93055556  0.95833333  0.97222222  0.97222222  0.95833333
  0.94444444  0.93055556  0.91666667  0.95833333  0.98611111  0.97222222
  0.97222222  0.97222222  0.98611111  0.98611111  0.95833333  0.93055556
  0.98611111  0.98611111  0.94444444  0.95833333  0.94444444  1.
  0.98611111  0.95833333  0.94444444  0.97222222  0.95833333  1.
  0.95833333  0.94444444  0.95833333  0.98611111  0.98611111  0.95833333
  0.97222222  0.94444444  0.95833333  0.94444444  0.97222222  1.
  0.97222222  0.94444444  0.93055556  0.98611111  0.97222222  0.97222222
  0.95833333  0.95833333  0.97222222  0.95833333  0.94444444  0.95833333
  0.95833333  0.95833333  0.95833333  0.93055556  0.97222222  0.93055556
  0.97222222  0.95833333  0.94444444  0.95833333  0.97222222  0.94444444
  0.95833333  0.93055556  0.91666667  0.98611111  0.98611111  0.97222222
  0.95833333  0.98611111  0.94444444  0.93055556  0.97222222  0.97222222
  0.93055556  0.94444444  0.94444444  0.95833333  0.97222222  0.95833333
  0.95833333  0.94444444  0.94444444  0.95833333  0.95833333  0.97222222
  0.95833333  1.          0.97222222  0.97222222]"
4,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__SVC,0.955056179775,0.0378973715131,"{'gamma': 0.2, 'kernel': 'rbf', 'random_state': 0, 'C': 0.05, 'max_iter': 100, 'shrinking': True, 'degree': 2}",0.955138888889,0.0190287915383,"[ 0.95833333  0.95833333  0.93055556  0.95833333  0.91666667  0.94444444
  0.93055556  0.95833333  0.93055556  0.95833333  0.98611111  0.97222222
  0.94444444  0.95833333  0.93055556  0.95833333  0.97222222  0.94444444
  0.97222222  0.95833333  0.97222222  0.95833333  0.95833333  0.95833333
  0.97222222  0.95833333  0.95833333  0.94444444  0.95833333  0.98611111
  0.97222222  0.95833333  0.91666667  0.94444444  0.94444444  1.
  0.97222222  0.97222222  0.97222222  0.97222222  0.98611111  0.95833333
  0.94444444  0.94444444  0.93055556  0.93055556  0.95833333  0.95833333
  0.97222222  0.94444444  0.91666667  0.97222222  0.91666667  0.98611111
  0.95833333  0.94444444  0.97222222  0.94444444  0.95833333  0.93055556
  0.94444444  0.94444444  0.95833333  0.94444444  1.          0.91666667
  0.91666667  0.95833333  0.94444444  0.97222222  0.97222222  0.94444444
  0.95833333  0.93055556  0.91666667  0.97222222  0.98611111  0.95833333
  0.95833333  0.98611111  0.93055556  0.94444444  0.97222222  0.95833333
  0.94444444  0.95833333  0.93055556  0.94444444  0.97222222  0.95833333
  0.95833333  0.93055556  0.94444444  0.95833333  0.95833333  0.95833333
  0.97222222  0.98611111  0.95833333  0.97222222]"
5,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__LR,0.912921348315,0.0478547568493,"{'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': 1, 'random_state': 0, 'C': 0.65, 'max_iter': 50, 'fit_intercept': True}",0.8975,0.0283809512713,"[ 0.88888889  0.875       0.88888889  0.94444444  0.90277778  0.875
  0.86111111  0.90277778  0.875       0.93055556  0.93055556  0.91666667
  0.88888889  0.91666667  0.86111111  0.90277778  0.93055556  0.90277778
  0.91666667  0.93055556  0.875       0.91666667  0.86111111  0.91666667
  0.90277778  0.91666667  0.91666667  0.88888889  0.91666667  0.93055556
  0.86111111  0.88888889  0.875       0.91666667  0.91666667  0.94444444
  0.875       0.90277778  0.90277778  0.93055556  0.90277778  0.88888889
  0.875       0.90277778  0.88888889  0.91666667  0.90277778  0.90277778
  0.84722222  0.90277778  0.83333333  0.91666667  0.90277778  0.90277778
  0.91666667  0.91666667  0.94444444  0.90277778  0.88888889  0.86111111
  0.875       0.875       0.88888889  0.90277778  0.95833333  0.84722222
  0.83333333  0.875       0.91666667  0.90277778  0.88888889  0.83333333
  0.875       0.91666667  0.86111111  0.93055556  0.94444444  0.93055556
  0.88888889  0.93055556  0.90277778  0.86111111  0.91666667  0.95833333
  0.88888889  0.86111111  0.84722222  0.86111111  0.93055556  0.90277778
  0.86111111  0.86111111  0.88888889  0.86111111  0.91666667  0.88888889
  0.90277778  0.95833333  0.88888889  0.90277778]"
6,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__RF,0.898876404494,0.0678853195526,"{'class_weight': None, 'criterion': 'gini', 'min_weight_fraction_leaf': 0.0, 'n_jobs': 1, 'max_features': 0.5, 'random_state': 0, 'min_samples_leaf': 1, 'warm_start': False, 'verbose': 0, 'n_estimators': 100, 'min_samples_split': 2, 'max_leaf_nodes': None, 'oob_score': False, 'max_depth': 3, 'bootstrap': True}",0.90375,0.0313812060411,"[ 0.88888889  0.88888889  0.88888889  0.94444444  0.88888889  0.875
  0.86111111  0.88888889  0.88888889  0.91666667  0.94444444  0.91666667
  0.90277778  0.91666667  0.84722222  0.93055556  0.93055556  0.90277778
  0.91666667  0.91666667  0.875       0.91666667  0.84722222  0.91666667
  0.88888889  0.91666667  0.91666667  0.90277778  0.90277778  0.94444444
  0.86111111  0.93055556  0.86111111  0.91666667  0.91666667  0.93055556
  0.88888889  0.90277778  0.93055556  0.94444444  0.93055556  0.91666667
  0.90277778  0.90277778  0.91666667  0.93055556  0.91666667  0.90277778
  0.81944444  0.91666667  0.86111111  0.94444444  0.93055556  0.91666667
  0.94444444  0.91666667  0.94444444  0.90277778  0.875       0.86111111
  0.88888889  0.875       0.88888889  0.91666667  0.97222222  0.86111111
  0.81944444  0.88888889  0.90277778  0.90277778  0.90277778  0.83333333
  0.86111111  0.90277778  0.86111111  0.95833333  0.94444444  0.95833333
  0.91666667  0.94444444  0.88888889  0.88888889  0.91666667  0.97222222
  0.88888889  0.88888889  0.86111111  0.91666667  0.93055556  0.875
  0.86111111  0.90277778  0.90277778  0.86111111  0.91666667  0.90277778
  0.88888889  0.97222222  0.90277778  0.91666667]"
7,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__GBT,0.904494382022,0.0640829719263,"{'colsample_bytree': 1.0, 'nthread': 1, 'seed': 0, 'n_estimators': 100, 'base_score': 0.5, 'silent': True, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 2, 'subsample': 1.0, 'objective': 'binary:logistic'}",0.905277777778,0.031203978458,"[ 0.90277778  0.88888889  0.88888889  0.94444444  0.90277778  0.88888889
  0.88888889  0.90277778  0.90277778  0.90277778  0.95833333  0.90277778
  0.91666667  0.91666667  0.86111111  0.93055556  0.94444444  0.88888889
  0.91666667  0.90277778  0.86111111  0.91666667  0.84722222  0.90277778
  0.88888889  0.93055556  0.94444444  0.90277778  0.91666667  0.93055556
  0.86111111  0.93055556  0.86111111  0.91666667  0.875       0.93055556
  0.875       0.93055556  0.91666667  0.95833333  0.93055556  0.91666667
  0.90277778  0.90277778  0.90277778  0.91666667  0.93055556  0.90277778
  0.81944444  0.91666667  0.86111111  0.93055556  0.93055556  0.93055556
  0.93055556  0.91666667  0.94444444  0.90277778  0.88888889  0.875       0.875
  0.91666667  0.90277778  0.93055556  0.98611111  0.86111111  0.86111111
  0.88888889  0.90277778  0.88888889  0.93055556  0.83333333  0.875       0.875
  0.86111111  0.97222222  0.94444444  0.93055556  0.91666667  0.94444444
  0.88888889  0.875       0.91666667  0.98611111  0.88888889  0.88888889
  0.90277778  0.91666667  0.93055556  0.875       0.84722222  0.88888889
  0.91666667  0.84722222  0.88888889  0.88888889  0.90277778  0.95833333
  0.90277778  0.91666667]"
8,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__SGD,0.912921348315,0.058552205609,"{'class_weight': None, 'verbose': 0, 'eta0': 0.0, 'l1_ratio': 0.6, 'epsilon': 0.1, 'n_jobs': -1, 'learning_rate': 'optimal', 'n_iter': 200, 'penalty': 'elasticnet', 'random_state': 0, 'loss': 'modified_huber', 'power_t': 0.5, 'shuffle': True, 'alpha': 0.001, 'fit_intercept': True}",0.894305555556,0.0334428178822,"[ 0.90277778  0.88888889  0.84722222  0.93055556  0.90277778  0.875
  0.84722222  0.83333333  0.90277778  0.94444444  0.94444444  0.88888889
  0.88888889  0.93055556  0.875       0.90277778  0.88888889  0.90277778
  0.91666667  0.93055556  0.90277778  0.91666667  0.84722222  0.93055556
  0.90277778  0.91666667  0.91666667  0.83333333  0.88888889  0.91666667
  0.875       0.86111111  0.80555556  0.875       0.93055556  0.93055556
  0.875       0.90277778  0.90277778  0.93055556  0.91666667  0.90277778
  0.875       0.91666667  0.90277778  0.875       0.91666667  0.88888889
  0.86111111  0.875       0.84722222  0.93055556  0.90277778  0.88888889
  0.93055556  0.91666667  0.91666667  0.875       0.88888889  0.875       0.875
  0.86111111  0.88888889  0.91666667  0.97222222  0.86111111  0.83333333
  0.86111111  0.88888889  0.88888889  0.91666667  0.81944444  0.90277778
  0.91666667  0.83333333  0.91666667  0.94444444  0.94444444  0.875
  0.94444444  0.90277778  0.90277778  0.93055556  0.97222222  0.88888889
  0.86111111  0.80555556  0.875       0.91666667  0.875       0.86111111
  0.86111111  0.88888889  0.86111111  0.88888889  0.88888889  0.90277778
  0.95833333  0.90277778  0.91666667]"
9,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__SVC,0.904494382022,0.0580710869835,"{'gamma': 0.01, 'kernel': 'linear', 'random_state': 0, 'C': 0.4, 'max_iter': 100, 'shrinking': True, 'degree': 2}",0.89875,0.0295474482406,"[ 0.90277778  0.88888889  0.90277778  0.94444444  0.875       0.86111111
  0.84722222  0.88888889  0.875       0.93055556  0.93055556  0.88888889
  0.88888889  0.91666667  0.875       0.90277778  0.91666667  0.90277778
  0.91666667  0.93055556  0.875       0.91666667  0.84722222  0.90277778
  0.90277778  0.93055556  0.93055556  0.875       0.90277778  0.91666667
  0.86111111  0.86111111  0.86111111  0.90277778  0.91666667  0.93055556
  0.875       0.90277778  0.90277778  0.93055556  0.90277778  0.90277778
  0.88888889  0.88888889  0.88888889  0.91666667  0.90277778  0.90277778
  0.86111111  0.90277778  0.84722222  0.91666667  0.91666667  0.90277778
  0.93055556  0.91666667  0.94444444  0.90277778  0.90277778  0.86111111
  0.88888889  0.875       0.88888889  0.90277778  0.98611111  0.86111111
  0.81944444  0.875       0.91666667  0.91666667  0.88888889  0.83333333
  0.90277778  0.88888889  0.84722222  0.94444444  0.94444444  0.93055556
  0.90277778  0.94444444  0.90277778  0.875       0.93055556  0.97222222
  0.875       0.91666667  0.86111111  0.875       0.93055556  0.88888889
  0.86111111  0.86111111  0.91666667  0.86111111  0.90277778  0.88888889
  0.90277778  0.95833333  0.90277778  0.90277778]"
10,-__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__LR,0.814606741573,0.0679039292482,"{'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': 1, 'random_state': 0, 'C': 0.5, 'max_iter': 50, 'fit_intercept': True}",0.803194444444,0.0429907666659,"[ 0.81944444  0.81944444  0.72222222  0.875       0.76388889  0.69444444
  0.75        0.80555556  0.79166667  0.81944444  0.81944444  0.73611111
  0.76388889  0.84722222  0.80555556  0.80555556  0.81944444  0.84722222
  0.875       0.77777778  0.77777778  0.79166667  0.77777778  0.77777778
  0.75        0.77777778  0.79166667  0.76388889  0.81944444  0.84722222
  0.81944444  0.76388889  0.80555556  0.81944444  0.80555556  0.80555556
  0.73611111  0.80555556  0.79166667  0.79166667  0.84722222  0.81944444
  0.79166667  0.81944444  0.75        0.76388889  0.83333333  0.75
  0.77777778  0.86111111  0.69444444  0.80555556  0.875       0.83333333
  0.80555556  0.83333333  0.88888889  0.79166667  0.76388889  0.79166667
  0.81944444  0.83333333  0.81944444  0.86111111  0.875       0.76388889
  0.76388889  0.76388889  0.75        0.86111111  0.86111111  0.81944444
  0.75        0.79166667  0.77777778  0.875       0.90277778  0.875
  0.79166667  0.81944444  0.80555556  0.79166667  0.84722222  0.83333333
  0.75        0.79166667  0.70833333  0.75        0.84722222  0.80555556
  0.76388889  0.80555556  0.83333333  0.77777778  0.76388889  0.81944444
  0.86111111  0.84722222  0.84722222  0.81944444]"
11,-__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__RF,0.831460674157,0.0504821776476,"{'class_weight': None, 'criterion': 'entropy', 'min_weight_fraction_leaf': 0.0, 'n_jobs': 1, 'max_features': 0.5, 'random_state': 0, 'min_samples_leaf': 1, 'warm_start': False, 'verbose': 0, 'n_estimators': 100, 'min_samples_split': 2, 'max_leaf_nodes': None, 'oob_score': False, 'max_depth': 7, 'bootstrap': True}",0.822916666667,0.0420984571284,"[ 0.83333333  0.86111111  0.81944444  0.90277778  0.83333333  0.75
  0.72222222  0.75        0.86111111  0.86111111  0.86111111  0.76388889
  0.80555556  0.84722222  0.83333333  0.86111111  0.80555556  0.83333333
  0.88888889  0.79166667  0.86111111  0.86111111  0.79166667  0.81944444
  0.77777778  0.83333333  0.84722222  0.80555556  0.83333333  0.83333333
  0.79166667  0.86111111  0.83333333  0.83333333  0.80555556  0.86111111
  0.75        0.80555556  0.79166667  0.81944444  0.875       0.83333333
  0.875       0.875       0.79166667  0.79166667  0.80555556  0.84722222
  0.81944444  0.83333333  0.72222222  0.83333333  0.84722222  0.84722222
  0.86111111  0.86111111  0.84722222  0.80555556  0.79166667  0.80555556
  0.875       0.84722222  0.81944444  0.84722222  0.88888889  0.79166667
  0.75        0.80555556  0.79166667  0.83333333  0.875       0.86111111
  0.75        0.84722222  0.77777778  0.83333333  0.93055556  0.88888889
  0.81944444  0.83333333  0.76388889  0.80555556  0.81944444  0.83333333
  0.70833333  0.79166667  0.76388889  0.84722222  0.90277778  0.79166667
  0.76388889  0.79166667  0.83333333  0.77777778  0.79166667  0.80555556
  0.79166667  0.875       0.84722222  0.84722222]"
12,-__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__GBT,0.848314606742,0.046795545,"{'colsample_bytree': 1.0, 'nthread': 1, 'seed': 0, 'n_estimators': 100, 'base_score': 0.5, 'silent': True, 'gamma': 0, 'learning_rate': 0.5, 'max_depth': 2, 'subsample': 0.9, 'objective': 'binary:logistic'}",0.81875,0.0430499548329,"[ 0.86111111  0.86111111  0.84722222  0.88888889  0.77777778  0.72222222
  0.75        0.83333333  0.875       0.88888889  0.86111111  0.77777778
  0.80555556  0.80555556  0.77777778  0.875       0.79166667  0.80555556
  0.83333333  0.76388889  0.875       0.81944444  0.79166667  0.84722222
  0.76388889  0.80555556  0.84722222  0.77777778  0.86111111  0.80555556
  0.79166667  0.81944444  0.81944444  0.84722222  0.76388889  0.81944444
  0.76388889  0.76388889  0.79166667  0.80555556  0.90277778  0.81944444
  0.81944444  0.875       0.80555556  0.81944444  0.77777778  0.875
  0.81944444  0.86111111  0.73611111  0.83333333  0.84722222  0.88888889
  0.90277778  0.80555556  0.81944444  0.79166667  0.80555556  0.83333333
  0.875       0.86111111  0.79166667  0.80555556  0.86111111  0.86111111
  0.80555556  0.83333333  0.76388889  0.77777778  0.75        0.86111111
  0.76388889  0.83333333  0.76388889  0.81944444  0.875       0.88888889
  0.81944444  0.83333333  0.77777778  0.81944444  0.84722222  0.79166667
  0.80555556  0.75        0.79166667  0.84722222  0.88888889  0.73611111
  0.77777778  0.73611111  0.84722222  0.79166667  0.80555556  0.83333333
  0.77777778  0.875       0.88888889  0.81944444]"
13,-__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__SGD,0.865168539326,0.062247175767,"{'class_weight': None, 'verbose': 0, 'eta0': 0.0, 'l1_ratio': 0.8, 'epsilon': 0.1, 'n_jobs': -1, 'learning_rate': 'optimal', 'n_iter': 200, 'penalty': 'elasticnet', 'random_state': 0, 'loss': 'modified_huber', 'power_t': 0.5, 'shuffle': True, 'alpha': 0.001, 'fit_intercept': True}",0.852638888889,0.0388836802067,"[ 0.86111111  0.88888889  0.84722222  0.90277778  0.86111111  0.77777778
  0.79166667  0.80555556  0.86111111  0.88888889  0.84722222  0.80555556
  0.86111111  0.90277778  0.86111111  0.875       0.83333333  0.84722222
  0.875       0.90277778  0.83333333  0.90277778  0.84722222  0.875
  0.81944444  0.84722222  0.83333333  0.86111111  0.84722222  0.91666667
  0.90277778  0.83333333  0.83333333  0.86111111  0.79166667  0.84722222
  0.80555556  0.81944444  0.81944444  0.84722222  0.90277778  0.90277778
  0.88888889  0.86111111  0.75        0.83333333  0.84722222  0.875
  0.88888889  0.83333333  0.73611111  0.86111111  0.88888889  0.90277778
  0.88888889  0.84722222  0.90277778  0.79166667  0.80555556  0.86111111
  0.86111111  0.88888889  0.86111111  0.84722222  0.88888889  0.80555556
  0.79166667  0.80555556  0.86111111  0.83333333  0.84722222  0.88888889
  0.81944444  0.84722222  0.80555556  0.88888889  0.93055556  0.90277778
  0.86111111  0.90277778  0.84722222  0.77777778  0.875       0.86111111
  0.80555556  0.81944444  0.76388889  0.86111111  0.88888889  0.86111111
  0.84722222  0.875       0.84722222  0.86111111  0.81944444  0.88888889
  0.875       0.93055556  0.875       0.83333333]"
14,-__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__SVC,0.820224719101,0.0622239736346,"{'gamma': 0.01, 'kernel': 'linear', 'random_state': 0, 'C': 0.15000000000000002, 'max_iter': 100, 'shrinking': True, 'degree': 2}",0.801944444444,0.0410425479319,"[ 0.80555556  0.83333333  0.75        0.875       0.77777778  0.72222222
  0.70833333  0.80555556  0.79166667  0.80555556  0.83333333  0.76388889
  0.77777778  0.86111111  0.81944444  0.81944444  0.83333333  0.83333333
  0.84722222  0.79166667  0.80555556  0.80555556  0.75        0.77777778
  0.76388889  0.79166667  0.79166667  0.77777778  0.81944444  0.80555556
  0.80555556  0.76388889  0.80555556  0.83333333  0.79166667  0.83333333
  0.73611111  0.79166667  0.81944444  0.80555556  0.84722222  0.80555556
  0.80555556  0.83333333  0.77777778  0.77777778  0.80555556  0.75
  0.77777778  0.84722222  0.70833333  0.81944444  0.875       0.81944444
  0.83333333  0.81944444  0.88888889  0.77777778  0.73611111  0.79166667
  0.80555556  0.83333333  0.80555556  0.83333333  0.875       0.75        0.75
  0.75        0.73611111  0.83333333  0.86111111  0.80555556  0.75
  0.77777778  0.79166667  0.86111111  0.91666667  0.86111111  0.80555556
  0.79166667  0.80555556  0.77777778  0.875       0.84722222  0.75
  0.76388889  0.72222222  0.75        0.80555556  0.77777778  0.75
  0.83333333  0.83333333  0.79166667  0.77777778  0.79166667  0.83333333
  0.81944444  0.86111111  0.80555556]"
15,-__param,betweenness_centrality__param,l1_l2_linf__param,standard__None,grid__LR,0.952247191011,0.0354098071634,"{'penalty': 'l1', 'solver': 'liblinear', 'n_jobs': 1, 'random_state': 0, 'C': 0.2, 'max_iter': 50, 'fit_intercept': True}",0.947777777778,0.0218828248791,"[ 0.95833333  0.95833333  0.97222222  0.93055556  0.94444444  0.94444444
  0.94444444  0.93055556  0.94444444  0.94444444  0.94444444  0.94444444
  0.98611111  0.98611111  0.93055556  0.93055556  0.93055556  0.93055556
  0.94444444  0.94444444  0.91666667  0.94444444  0.94444444  0.97222222
  0.94444444  0.95833333  0.97222222  0.98611111  0.98611111  0.94444444
  0.90277778  0.97222222  0.95833333  0.98611111  0.98611111  0.94444444
  0.94444444  0.94444444  0.94444444  0.91666667  0.91666667  0.95833333
  0.94444444  0.93055556  0.97222222  0.98611111  0.95833333  0.91666667
  0.94444444  0.95833333  0.93055556  0.95833333  0.98611111  0.95833333
  0.95833333  1.          0.93055556  0.98611111  0.94444444  0.94444444
  0.94444444  0.97222222  0.97222222  0.94444444  0.97222222  0.95833333
  0.97222222  0.95833333  0.91666667  0.95833333  0.91666667  0.93055556
  0.94444444  0.94444444  0.98611111  0.93055556  0.88888889  0.95833333
  0.94444444  0.93055556  0.94444444  0.93055556  0.94444444  0.91666667
  0.94444444  0.90277778  0.95833333  0.95833333  0.91666667  0.93055556
  0.93055556  0.94444444  0.91666667  0.94444444  0.91666667  0.94444444
  0.95833333  0.97222222  0.93055556  0.93055556]"
16,-__param,betweenness_centrality__param,l1_l2_linf__param,standard__None,grid__RF,0.960674157303,0.0311978565318,"{'class_weight': None, 'criterion': 'gini', 'min_weight_fraction_leaf': 0.0, 'n_jobs': 1, 'max_features': 0.5, 'random_state': 0, 'min_samples_leaf': 1, 'warm_start': False, 'verbose': 0, 'n_estimators': 100, 'min_samples_split': 2, 'max_leaf_nodes': None, 'oob_score': False, 'max_depth': 7, 'bootstrap': True}",0.955833333333,0.0209146560934,"[ 0.94444444  0.95833333  0.98611111  0.97222222  0.95833333  0.93055556
  0.93055556  0.93055556  0.97222222  0.93055556  0.97222222  0.94444444
  0.98611111  0.98611111  0.94444444  0.95833333  0.94444444  0.91666667
  0.93055556  0.95833333  0.94444444  0.94444444  0.97222222  0.97222222
  0.93055556  0.95833333  0.97222222  0.98611111  0.97222222  0.97222222
  0.90277778  0.97222222  0.95833333  1.          0.97222222  0.94444444
  0.95833333  0.94444444  0.97222222  0.93055556  0.94444444  0.97222222
  0.95833333  0.95833333  0.97222222  1.          0.98611111  0.93055556
  0.94444444  0.97222222  0.91666667  0.95833333  1.          0.95833333
  0.95833333  0.98611111  0.95833333  0.97222222  0.94444444  0.95833333
  0.93055556  0.97222222  0.95833333  0.94444444  0.98611111  0.95833333
  0.97222222  0.95833333  0.94444444  0.95833333  0.94444444  0.94444444
  0.93055556  0.93055556  0.98611111  0.95833333  0.91666667  0.97222222
  0.95833333  0.95833333  0.95833333  0.94444444  0.97222222  0.93055556
  0.97222222  0.91666667  0.97222222  0.97222222  0.94444444  0.93055556
  0.90277778  0.94444444  0.91666667  0.95833333  0.95833333  0.95833333
  0.97222222  0.97222222  0.95833333  0.95833333]"
