,norm,base_features,pairwise_features,scaler,classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores
0,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__LR,0.977409638554,0.0169008927823,"{'fit_intercept': True, 'max_iter': 50, 'solver': 'liblinear', 'random_state': 0, 'C': 0.2, 'penalty': 'l1', 'n_jobs': 1}",0.975939849624,0.0124911637036,"[ 0.96240602  0.96992481  0.98496241  0.97744361  0.96992481  0.97744361
  0.96240602  0.97744361  0.9924812   0.9924812   0.93233083  0.98496241
  0.9924812   1.          0.97744361  0.96992481  0.9924812   0.96240602
  0.97744361  0.97744361  0.96240602  0.9924812   0.98496241  0.97744361
  0.98496241  0.96240602  0.97744361  0.97744361  0.9924812   0.97744361
  0.97744361  0.96240602  0.95488722  0.96992481  0.97744361  0.98496241
  0.95488722  0.9924812   0.96992481  0.9924812   0.9924812   0.98496241
  0.96992481  0.98496241  0.96992481  0.97744361  0.96992481  0.98496241
  0.96992481  0.97744361  0.96240602  0.96240602  0.93984962  0.94736842
  0.96992481  0.97744361  0.96240602  0.98496241  0.9924812   0.98496241
  0.96240602  0.98496241  0.96240602  0.97744361  0.9924812   0.96240602
  0.96992481  0.98496241  0.97744361  0.95488722  0.98496241  0.96240602
  0.96992481  0.96992481  0.96240602  0.98496241  0.97744361  0.9924812
  0.98496241  0.98496241  0.9924812   0.96240602  0.96992481  0.97744361
  0.9924812   0.97744361  0.97744361  0.96992481  0.97744361  0.9924812
  0.97744361  0.98496241  0.98496241  0.98496241  0.96992481  0.98496241
  0.97744361  0.98496241  0.95488722  0.96992481]"
1,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__RF,0.978915662651,0.0154487817811,"{'max_features': 0.5, 'min_weight_fraction_leaf': 0.0, 'random_state': 0, 'oob_score': False, 'class_weight': None, 'criterion': 'gini', 'verbose': 0, 'min_samples_leaf': 1, 'max_depth': 2, 'n_jobs': 1, 'n_estimators': 100, 'max_leaf_nodes': None, 'bootstrap': True, 'min_samples_split': 2, 'warm_start': False}",0.978045112782,0.0118730351538,"[ 0.97744361  0.97744361  0.97744361  0.97744361  0.98496241  0.97744361
  0.96240602  0.96992481  0.9924812   1.          0.94736842  0.97744361
  0.9924812   1.          0.98496241  0.96992481  0.98496241  0.96992481
  0.98496241  0.9924812   0.96992481  0.9924812   0.97744361  0.9924812
  0.9924812   0.96992481  0.9924812   0.96992481  0.98496241  0.98496241
  0.97744361  0.97744361  0.96992481  0.97744361  0.98496241  0.97744361
  0.94736842  0.9924812   0.96992481  0.97744361  0.9924812   0.97744361
  0.96992481  1.          0.96992481  0.96992481  0.96240602  0.97744361
  0.97744361  0.97744361  0.96240602  0.95488722  0.93984962  0.95488722
  0.97744361  0.97744361  0.96992481  0.98496241  0.9924812   0.98496241
  0.96992481  0.98496241  0.96240602  0.97744361  0.9924812   0.96992481
  0.96992481  0.98496241  0.97744361  0.96992481  0.9924812   0.96992481
  0.96992481  0.97744361  0.96992481  0.98496241  0.98496241  0.9924812
  0.98496241  0.98496241  0.9924812   0.96240602  0.97744361  0.98496241
  0.9924812   0.96240602  0.98496241  0.97744361  0.97744361  0.98496241
  0.97744361  0.9924812   0.9924812   0.9924812   0.96240602  0.97744361
  0.98496241  0.97744361  0.95488722  0.96992481]"
2,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__GBT,0.981927710843,0.0131931091598,"{'nthread': 1, 'objective': 'binary:logistic', 'learning_rate': 0.01, 'colsample_bytree': 1.0, 'seed': 0, 'subsample': 1.0, 'gamma': 0, 'n_estimators': 100, 'base_score': 0.5, 'max_depth': 2, 'silent': True}",0.979097744361,0.0131344581824,"[ 0.97744361  0.9924812   0.97744361  0.97744361  0.98496241  0.98496241
  0.96240602  0.98496241  0.9924812   1.          0.93233083  0.98496241
  0.9924812   1.          0.9924812   0.96240602  0.97744361  0.96240602
  0.98496241  0.9924812   0.96992481  0.9924812   0.97744361  0.97744361
  0.97744361  0.97744361  0.9924812   0.96992481  0.9924812   0.98496241
  0.97744361  0.97744361  0.96992481  0.98496241  0.98496241  0.98496241
  0.93984962  0.9924812   0.98496241  0.96992481  1.          0.97744361
  0.96992481  1.          0.96992481  0.96992481  0.95488722  0.9924812
  0.98496241  0.98496241  0.96240602  0.96992481  0.95488722  0.95488722
  0.97744361  0.97744361  0.96992481  0.9924812   0.9924812   0.9924812
  0.96992481  0.98496241  0.96240602  0.96992481  0.9924812   0.96992481
  0.95488722  0.98496241  0.9924812   0.96992481  0.97744361  0.97744361
  0.96992481  0.97744361  0.98496241  0.98496241  0.96992481  0.9924812
  0.98496241  0.98496241  0.9924812   0.95488722  0.98496241  0.98496241
  0.9924812   0.96240602  0.9924812   0.98496241  0.97744361  0.9924812
  0.97744361  0.9924812   0.9924812   0.9924812   0.96240602  0.98496241
  0.98496241  0.96992481  0.95488722  0.97744361]"
3,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__SGD,0.980421686747,0.0166458776649,"{'fit_intercept': True, 'shuffle': True, 'learning_rate': 'optimal', 'random_state': 0, 'class_weight': None, 'verbose': 0, 'power_t': 0.5, 'epsilon': 0.1, 'eta0': 0.0, 'n_jobs': -1, 'alpha': 0.1, 'l1_ratio': 0, 'n_iter': 50, 'loss': 'modified_huber', 'penalty': 'elasticnet'}",0.979473684211,0.0119288504478,"[ 0.97744361  0.97744361  0.98496241  0.97744361  0.98496241  0.97744361
  0.96992481  0.97744361  0.9924812   1.          0.93984962  0.98496241
  0.9924812   1.          0.98496241  0.96992481  0.9924812   0.96240602
  0.97744361  0.9924812   0.96992481  0.9924812   0.9924812   0.98496241
  0.98496241  0.96992481  0.9924812   0.97744361  0.9924812   0.97744361
  0.97744361  0.97744361  0.96240602  0.96992481  0.98496241  0.97744361
  0.95488722  1.          0.98496241  0.9924812   0.9924812   0.97744361
  0.96992481  1.          0.96992481  0.96992481  0.97744361  0.98496241
  0.97744361  0.97744361  0.96240602  0.96992481  0.94736842  0.94736842
  0.97744361  0.97744361  0.97744361  0.98496241  0.9924812   0.98496241
  0.96992481  0.98496241  0.96240602  0.98496241  0.9924812   0.96992481
  0.96992481  0.98496241  0.97744361  0.96240602  0.98496241  0.96992481
  0.96992481  0.96992481  0.98496241  0.98496241  0.97744361  1.
  0.98496241  0.98496241  1.          0.96240602  0.97744361  0.98496241
  0.9924812   0.97744361  0.98496241  0.97744361  0.96992481  0.9924812
  0.97744361  0.9924812   0.9924812   0.98496241  0.96992481  0.98496241
  0.97744361  0.98496241  0.95488722  0.98496241]"
4,-__param,bag_of_edges__param,l1_l2_linf__param,standard__None,grid__SVC,0.980421686747,0.0166458776649,"{'max_iter': 100, 'random_state': 0, 'degree': 2, 'gamma': 0.1, 'C': 0.05, 'kernel': 'rbf', 'shrinking': True}",0.979398496241,0.0112339986139,"[ 0.97744361  0.97744361  0.98496241  0.97744361  0.98496241  0.97744361
  0.96992481  0.97744361  0.9924812   1.          0.93984962  0.98496241
  0.9924812   1.          0.98496241  0.96992481  0.9924812   0.96240602
  0.97744361  0.9924812   0.96992481  0.98496241  0.9924812   0.98496241
  0.98496241  0.96992481  0.9924812   0.97744361  0.9924812   0.96992481
  0.97744361  0.97744361  0.96992481  0.96992481  0.98496241  0.98496241
  0.95488722  0.9924812   0.98496241  0.9924812   0.9924812   0.97744361
  0.96992481  1.          0.96992481  0.96992481  0.97744361  0.98496241
  0.97744361  0.97744361  0.96992481  0.96992481  0.94736842  0.95488722
  0.97744361  0.97744361  0.97744361  0.98496241  0.9924812   0.98496241
  0.96992481  0.9924812   0.96240602  0.97744361  0.9924812   0.96992481
  0.96992481  0.98496241  0.97744361  0.96240602  0.98496241  0.96992481
  0.96992481  0.96992481  0.98496241  0.98496241  0.97744361  1.
  0.98496241  0.98496241  1.          0.96240602  0.97744361  0.98496241
  0.98496241  0.97744361  0.98496241  0.97744361  0.96992481  0.98496241
  0.97744361  0.9924812   0.9924812   0.98496241  0.96992481  0.98496241
  0.97744361  0.98496241  0.96240602  0.97744361]"
5,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__LR,0.959337349398,0.0200054509654,"{'fit_intercept': True, 'max_iter': 50, 'solver': 'liblinear', 'random_state': 0, 'C': 0.30000000000000004, 'penalty': 'l1', 'n_jobs': 1}",0.957744360902,0.0169391671452,"[ 0.96240602  0.94736842  0.96240602  0.95488722  0.96992481  0.93984962
  0.93984962  0.96240602  0.96240602  0.9924812   0.91729323  0.96992481
  0.96240602  0.98496241  0.96240602  0.96240602  0.96240602  0.95488722
  0.96240602  0.96992481  0.92481203  0.94736842  0.95488722  0.96992481
  0.96240602  0.95488722  0.97744361  0.94736842  0.97744361  0.96240602
  0.94736842  0.95488722  0.95488722  0.96240602  0.94736842  0.96240602
  0.93233083  0.98496241  0.96240602  0.96992481  0.97744361  0.96992481
  0.96992481  0.97744361  0.94736842  0.93984962  0.93233083  0.96992481
  0.96992481  0.96992481  0.94736842  0.93984962  0.93233083  0.95488722
  0.96992481  0.94736842  0.94736842  0.97744361  0.96240602  0.93984962
  0.93984962  0.96240602  0.93233083  0.94736842  0.96992481  0.96240602
  0.94736842  0.94736842  0.97744361  0.92481203  0.94736842  0.95488722
  0.93233083  0.96992481  0.96240602  0.96240602  0.94736842  0.98496241
  0.96992481  0.97744361  0.9924812   0.94736842  0.96240602  0.97744361
  0.9924812   0.96240602  0.96992481  0.95488722  0.96992481  0.96240602
  0.95488722  0.93984962  0.96240602  0.96992481  0.90225564  0.94736842
  0.92481203  0.95488722  0.92481203  0.97744361]"
6,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__RF,0.954819277108,0.0267905403922,"{'max_features': 0.5, 'min_weight_fraction_leaf': 0.0, 'random_state': 0, 'oob_score': False, 'class_weight': None, 'criterion': 'gini', 'verbose': 0, 'min_samples_leaf': 1, 'max_depth': 5, 'n_jobs': 1, 'n_estimators': 100, 'max_leaf_nodes': None, 'bootstrap': True, 'min_samples_split': 2, 'warm_start': False}",0.956616541353,0.0170082766429,"[ 0.96992481  0.96240602  0.94736842  0.94736842  0.96240602  0.93984962
  0.93984962  0.97744361  0.96992481  0.96992481  0.92481203  0.96240602
  0.95488722  0.96992481  0.97744361  0.96992481  0.97744361  0.96240602
  0.97744361  0.95488722  0.92481203  0.94736842  0.95488722  0.96992481
  0.96992481  0.95488722  0.97744361  0.96240602  0.97744361  0.94736842
  0.95488722  0.95488722  0.93233083  0.96240602  0.96240602  0.96992481
  0.92481203  0.96240602  0.96992481  0.95488722  0.9924812   0.96240602
  0.96992481  0.9924812   0.93233083  0.93233083  0.93984962  0.96240602
  0.95488722  0.96992481  0.93233083  0.94736842  0.93984962  0.94736842
  0.96240602  0.93984962  0.94736842  0.97744361  0.95488722  0.94736842
  0.95488722  0.95488722  0.92481203  0.96240602  0.97744361  0.96240602
  0.95488722  0.96240602  0.98496241  0.92481203  0.94736842  0.94736842
  0.93233083  0.96992481  0.94736842  0.96992481  0.95488722  0.97744361
  0.96240602  0.96992481  0.98496241  0.96240602  0.94736842  0.97744361
  0.98496241  0.96240602  0.96240602  0.95488722  0.96240602  0.95488722
  0.96240602  0.95488722  0.93984962  0.96992481  0.90225564  0.94736842
  0.93233083  0.93984962  0.92481203  0.93233083]"
7,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__GBT,0.959337349398,0.0259234880005,"{'nthread': 1, 'objective': 'binary:logistic', 'learning_rate': 0.01, 'colsample_bytree': 1.0, 'seed': 0, 'subsample': 0.6, 'gamma': 0, 'n_estimators': 100, 'base_score': 0.5, 'max_depth': 2, 'silent': True}",0.957443609023,0.0166849542573,"[ 0.96240602  0.96992481  0.94736842  0.93984962  0.96240602  0.93984962
  0.94736842  0.96992481  0.96240602  0.96992481  0.93233083  0.96992481
  0.95488722  0.96992481  0.98496241  0.96992481  0.96992481  0.96992481
  0.98496241  0.96240602  0.92481203  0.95488722  0.95488722  0.97744361
  0.96992481  0.95488722  0.97744361  0.94736842  0.97744361  0.95488722
  0.95488722  0.95488722  0.93233083  0.96240602  0.95488722  0.97744361
  0.92481203  0.96240602  0.96992481  0.95488722  0.9924812   0.96992481
  0.96992481  0.9924812   0.93233083  0.93233083  0.93984962  0.96240602
  0.95488722  0.96240602  0.93233083  0.94736842  0.93984962  0.94736842
  0.96992481  0.93984962  0.93984962  0.96240602  0.96992481  0.93984962
  0.95488722  0.96240602  0.93233083  0.94736842  0.97744361  0.95488722
  0.94736842  0.96240602  0.98496241  0.93233083  0.94736842  0.94736842
  0.93984962  0.96992481  0.96992481  0.96240602  0.95488722  0.97744361
  0.96240602  0.96992481  0.98496241  0.94736842  0.96992481  0.96992481
  0.98496241  0.96240602  0.96240602  0.96240602  0.97744361  0.95488722
  0.96240602  0.95488722  0.93984962  0.97744361  0.91729323  0.94736842
  0.93984962  0.93984962  0.91729323  0.93233083]"
8,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__SGD,0.96234939759,0.0260715372229,"{'fit_intercept': True, 'shuffle': True, 'learning_rate': 'optimal', 'random_state': 0, 'class_weight': None, 'verbose': 0, 'power_t': 0.5, 'epsilon': 0.1, 'eta0': 0.0, 'n_jobs': -1, 'alpha': 0.001, 'l1_ratio': 0, 'n_iter': 50, 'loss': 'hinge', 'penalty': 'elasticnet'}",0.960751879699,0.0164584388093,"[ 0.97744361  0.96992481  0.96240602  0.95488722  0.96992481  0.94736842
  0.94736842  0.97744361  0.9924812   0.9924812   0.93984962  0.96992481
  0.96240602  0.96240602  0.97744361  0.96240602  0.96992481  0.97744361
  0.98496241  0.96992481  0.93984962  0.96992481  0.96240602  0.98496241
  0.96992481  0.95488722  0.97744361  0.96240602  0.98496241  0.95488722
  0.95488722  0.95488722  0.93233083  0.96240602  0.95488722  0.96992481
  0.92481203  0.97744361  0.96992481  0.95488722  0.98496241  0.96992481
  0.96992481  0.9924812   0.93233083  0.93233083  0.93984962  0.96240602
  0.96240602  0.96992481  0.93233083  0.95488722  0.93233083  0.94736842
  0.96240602  0.93984962  0.94736842  0.97744361  0.96240602  0.95488722
  0.94736842  0.96240602  0.93233083  0.94736842  0.96992481  0.93984962
  0.95488722  0.96240602  0.98496241  0.93233083  0.94736842  0.94736842
  0.93984962  0.96240602  0.97744361  0.96992481  0.95488722  0.98496241
  0.96240602  0.96992481  0.98496241  0.94736842  0.95488722  0.96992481
  0.98496241  0.96992481  0.98496241  0.96240602  0.97744361  0.95488722
  0.96240602  0.95488722  0.95488722  0.98496241  0.93233083  0.94736842
  0.94736842  0.95488722  0.92481203  0.95488722]"
9,-__param,degrees__param,l1_l2_linf__param,standard__None,grid__SVC,0.963855421687,0.0232348522153,"{'max_iter': 50, 'random_state': 0, 'degree': 2, 'gamma': 0.2, 'C': 0.35000000000000003, 'kernel': 'rbf', 'shrinking': True}",0.958195488722,0.0160670200171,"[ 0.95488722  0.96992481  0.95488722  0.95488722  0.96992481  0.94736842
  0.94736842  0.96992481  0.98496241  0.97744361  0.91729323  0.96992481
  0.96992481  0.97744361  0.95488722  0.96240602  0.97744361  0.96992481
  0.97744361  0.95488722  0.93984962  0.95488722  0.94736842  0.96992481
  0.97744361  0.95488722  0.96992481  0.96240602  0.97744361  0.96240602
  0.96240602  0.94736842  0.93233083  0.96992481  0.96240602  0.96992481
  0.92481203  0.97744361  0.95488722  0.96992481  0.96992481  0.96992481
  0.96992481  1.          0.92481203  0.93984962  0.93984962  0.96992481
  0.95488722  0.96240602  0.94736842  0.93984962  0.93233083  0.94736842
  0.96992481  0.94736842  0.94736842  0.96992481  0.94736842  0.95488722
  0.95488722  0.96240602  0.93233083  0.93984962  0.96992481  0.95488722
  0.94736842  0.95488722  0.98496241  0.93984962  0.93984962  0.94736842
  0.94736842  0.97744361  0.95488722  0.96240602  0.95488722  0.98496241
  0.96240602  0.96992481  0.98496241  0.94736842  0.95488722  0.97744361
  0.98496241  0.95488722  0.96240602  0.95488722  0.97744361  0.96240602
  0.96240602  0.93984962  0.94736842  0.97744361  0.93233083  0.95488722
  0.95488722  0.93233083  0.93233083  0.92481203]"
10,-__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__LR,0.899096385542,0.0310263794594,"{'fit_intercept': True, 'max_iter': 50, 'solver': 'liblinear', 'random_state': 0, 'C': 0.9, 'penalty': 'l1', 'n_jobs': 1}",0.891428571429,0.022961770823,"[ 0.93233083  0.91729323  0.91729323  0.86466165  0.87969925  0.85714286
  0.91729323  0.89473684  0.89473684  0.90225564  0.85714286  0.90225564
  0.92481203  0.87969925  0.87218045  0.88721805  0.89473684  0.86466165
  0.88721805  0.89473684  0.88721805  0.87218045  0.89473684  0.87218045
  0.86466165  0.89473684  0.90977444  0.87969925  0.89473684  0.87969925
  0.89473684  0.90225564  0.87969925  0.88721805  0.87969925  0.89473684
  0.87969925  0.88721805  0.89473684  0.90977444  0.89473684  0.89473684
  0.90225564  0.90977444  0.89473684  0.87969925  0.86466165  0.87969925
  0.92481203  0.90977444  0.82706767  0.87218045  0.84962406  0.85714286
  0.92481203  0.87969925  0.90977444  0.91729323  0.90977444  0.87969925
  0.90225564  0.92481203  0.87218045  0.86466165  0.90225564  0.87218045
  0.85714286  0.92481203  0.93984962  0.84210526  0.93233083  0.89473684
  0.89473684  0.87218045  0.93233083  0.90225564  0.90977444  0.90225564
  0.92481203  0.93984962  0.87218045  0.86466165  0.87218045  0.89473684
  0.89473684  0.89473684  0.90225564  0.87969925  0.90977444  0.85714286
  0.90977444  0.92481203  0.87969925  0.92481203  0.90977444  0.87969925
  0.87218045  0.88721805  0.87969925  0.84210526]"
11,-__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__RF,0.906626506024,0.030991633017,"{'max_features': 0.5, 'min_weight_fraction_leaf': 0.0, 'random_state': 0, 'oob_score': False, 'class_weight': None, 'criterion': 'gini', 'verbose': 0, 'min_samples_leaf': 1, 'max_depth': 7, 'n_jobs': 1, 'n_estimators': 100, 'max_leaf_nodes': None, 'bootstrap': True, 'min_samples_split': 2, 'warm_start': False}",0.89977443609,0.0211612397225,"[ 0.88721805  0.91729323  0.92481203  0.90977444  0.89473684  0.90225564
  0.88721805  0.92481203  0.92481203  0.89473684  0.85714286  0.90225564
  0.87218045  0.90225564  0.86466165  0.88721805  0.92481203  0.87218045
  0.91729323  0.90977444  0.87218045  0.90225564  0.90225564  0.89473684
  0.87969925  0.89473684  0.87969925  0.92481203  0.87218045  0.88721805
  0.91729323  0.88721805  0.90225564  0.90977444  0.87218045  0.90977444
  0.89473684  0.90225564  0.90977444  0.93233083  0.90225564  0.90977444
  0.89473684  0.89473684  0.88721805  0.86466165  0.89473684  0.90977444
  0.89473684  0.92481203  0.86466165  0.83458647  0.89473684  0.88721805
  0.89473684  0.88721805  0.89473684  0.89473684  0.92481203  0.87969925
  0.90225564  0.90977444  0.88721805  0.87969925  0.90977444  0.90977444
  0.88721805  0.92481203  0.93233083  0.85714286  0.89473684  0.89473684
  0.88721805  0.89473684  0.93233083  0.94736842  0.93984962  0.88721805
  0.92481203  0.93984962  0.90977444  0.87969925  0.87969925  0.90977444
  0.93984962  0.91729323  0.92481203  0.89473684  0.91729323  0.89473684
  0.90225564  0.89473684  0.87218045  0.96240602  0.90977444  0.89473684
  0.89473684  0.87969925  0.90225564  0.89473684]"
12,-__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__GBT,0.915662650602,0.037144821326,"{'nthread': 1, 'objective': 'binary:logistic', 'learning_rate': 0.5, 'colsample_bytree': 1.0, 'seed': 0, 'subsample': 0.9, 'gamma': 0, 'n_estimators': 100, 'base_score': 0.5, 'max_depth': 3, 'silent': True}",0.893834586466,0.0235202584012,"[ 0.85714286  0.93984962  0.93233083  0.90977444  0.89473684  0.87969925
  0.88721805  0.88721805  0.89473684  0.88721805  0.87218045  0.87969925
  0.85714286  0.89473684  0.87218045  0.90225564  0.93233083  0.88721805
  0.90977444  0.91729323  0.89473684  0.90977444  0.88721805  0.87218045
  0.89473684  0.87969925  0.87218045  0.88721805  0.91729323  0.89473684
  0.87218045  0.87969925  0.85714286  0.91729323  0.88721805  0.88721805
  0.88721805  0.88721805  0.90977444  0.92481203  0.89473684  0.90977444
  0.90225564  0.89473684  0.88721805  0.84210526  0.84962406  0.90225564
  0.85714286  0.90225564  0.87969925  0.84210526  0.89473684  0.88721805
  0.87969925  0.89473684  0.90225564  0.90977444  0.93984962  0.89473684
  0.91729323  0.91729323  0.89473684  0.89473684  0.90225564  0.89473684
  0.89473684  0.92481203  0.90977444  0.87218045  0.88721805  0.89473684
  0.84210526  0.90977444  0.94736842  0.93984962  0.90225564  0.88721805
  0.90225564  0.92481203  0.90977444  0.88721805  0.87969925  0.90225564
  0.93233083  0.90225564  0.94736842  0.87969925  0.87969925  0.89473684
  0.88721805  0.84962406  0.86466165  0.94736842  0.87969925  0.86466165
  0.90225564  0.84210526  0.89473684  0.89473684]"
13,-__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__SGD,0.921686746988,0.0221613254416,"{'fit_intercept': True, 'shuffle': True, 'learning_rate': 'optimal', 'random_state': 0, 'class_weight': None, 'verbose': 0, 'power_t': 0.5, 'epsilon': 0.1, 'eta0': 0.0, 'n_jobs': -1, 'alpha': 0.001, 'l1_ratio': 0.8, 'n_iter': 50, 'loss': 'modified_huber', 'penalty': 'elasticnet'}",0.906541353383,0.0228119606861,"[ 0.90977444  0.90977444  0.95488722  0.91729323  0.90225564  0.86466165
  0.89473684  0.90977444  0.91729323  0.89473684  0.89473684  0.93233083
  0.92481203  0.87969925  0.94736842  0.93984962  0.92481203  0.89473684
  0.88721805  0.93233083  0.93233083  0.91729323  0.87218045  0.91729323
  0.90225564  0.90225564  0.91729323  0.91729323  0.92481203  0.91729323
  0.88721805  0.90977444  0.84962406  0.90225564  0.90225564  0.86466165
  0.90225564  0.89473684  0.92481203  0.93984962  0.90225564  0.88721805
  0.92481203  0.90225564  0.89473684  0.90977444  0.87218045  0.90225564
  0.90225564  0.90977444  0.90225564  0.87969925  0.84962406  0.89473684
  0.93233083  0.89473684  0.92481203  0.92481203  0.94736842  0.90225564
  0.90977444  0.94736842  0.89473684  0.89473684  0.88721805  0.89473684
  0.89473684  0.94736842  0.96240602  0.85714286  0.93233083  0.88721805
  0.90977444  0.89473684  0.90977444  0.94736842  0.91729323  0.90977444
  0.91729323  0.93984962  0.90225564  0.90225564  0.90977444  0.93233083
  0.90225564  0.90225564  0.93984962  0.89473684  0.89473684  0.90225564
  0.91729323  0.90977444  0.87218045  0.92481203  0.90225564  0.89473684
  0.88721805  0.87969925  0.86466165  0.87218045]"
14,-__param,closeness_centrality__param,l1_l2_linf__param,standard__None,grid__SVC,0.878012048193,0.0349108397182,"{'max_iter': 100, 'random_state': 0, 'degree': 2, 'gamma': 0.1, 'C': 0.05, 'kernel': 'sigmoid', 'shrinking': True}",0.851503759398,0.0578055655432,"[ 0.90977444  0.87969925  0.90977444  0.87969925  0.85714286  0.85714286
  0.90225564  0.88721805  0.89473684  0.86466165  0.81203008  0.87218045
  0.91729323  0.85714286  0.84962406  0.87218045  0.86466165  0.85714286
  0.87218045  0.88721805  0.85714286  0.88721805  0.87218045  0.86466165
  0.84210526  0.87969925  0.72932331  0.88721805  0.85714286  0.87218045
  0.88721805  0.87218045  0.87218045  0.87969925  0.84210526  0.71428571
  0.86466165  0.90225564  0.87218045  0.76691729  0.87218045  0.70676692
  0.7593985   0.87969925  0.87969925  0.83458647  0.68421053  0.87218045
  0.87218045  0.88721805  0.62406015  0.85714286  0.85714286  0.83458647
  0.89473684  0.80451128  0.7593985   0.84210526  0.90225564  0.84210526
  0.89473684  0.89473684  0.78195489  0.84210526  0.71428571  0.87969925
  0.68421053  0.89473684  0.93233083  0.83458647  0.88721805  0.87969925
  0.87969925  0.84962406  0.90977444  0.89473684  0.88721805  0.88721805
  0.7443609   0.91729323  0.89473684  0.83458647  0.84962406  0.87969925
  0.78195489  0.7443609   0.87218045  0.85714286  0.89473684  0.83458647
  0.76691729  0.89473684  0.83458647  0.90977444  0.87969925  0.87969925
  0.87218045  0.87969925  0.87969925  0.82706767]"
15,-__param,betweenness_centrality__param,l1_l2_linf__param,standard__None,grid__LR,0.5,0.0,"{'fit_intercept': True, 'max_iter': 50, 'solver': 'liblinear', 'random_state': 0, 'C': 0.05, 'penalty': 'l1', 'n_jobs': 1}",0.598796992481,0.181084477503,"[ 0.5037594   0.4962406   0.5037594   0.94736842  0.4962406   0.5037594
  0.5037594   0.5037594   0.5037594   0.94736842  0.4962406   0.96992481
  0.93984962  0.4962406   0.5037594   0.4962406   0.4962406   0.5037594
  0.4962406   0.4962406   0.5037594   0.90977444  0.4962406   0.5037594
  0.91729323  0.5037594   0.4962406   0.93984962  0.5037594   0.88721805
  0.93233083  0.4962406   0.88721805  0.4962406   0.92481203  0.4962406
  0.5037594   0.5037594   0.4962406   0.4962406   0.5037594   0.5037594
  0.93233083  0.5037594   0.5037594   0.4962406   0.4962406   0.5037594
  0.5037594   0.5037594   0.94736842  0.93233083  0.4962406   0.4962406
  0.5037594   0.5037594   0.4962406   0.4962406   0.94736842  0.96240602
  0.4962406   0.4962406   0.4962406   0.4962406   0.4962406   0.89473684
  0.5037594   0.4962406   0.5037594   0.5037594   0.94736842  0.5037594
  0.4962406   0.89473684  0.96992481  0.92481203  0.4962406   0.5037594
  0.5037594   0.4962406   0.90977444  0.4962406   0.5037594   0.5037594
  0.5037594   0.5037594   0.4962406   0.5037594   0.4962406   0.4962406
  0.5037594   0.4962406   0.5037594   0.4962406   0.4962406   0.5037594
  0.5037594   0.5037594   0.4962406   0.90977444]"
16,-__param,betweenness_centrality__param,l1_l2_linf__param,standard__None,grid__RF,0.5,0.0,"{'max_features': 0.5, 'min_weight_fraction_leaf': 0.0, 'random_state': 0, 'oob_score': False, 'class_weight': None, 'criterion': 'gini', 'verbose': 0, 'min_samples_leaf': 1, 'max_depth': 2, 'n_jobs': 1, 'n_estimators': 100, 'max_leaf_nodes': None, 'bootstrap': True, 'min_samples_split': 2, 'warm_start': False}",0.598421052632,0.183846794496,"[ 0.4962406   0.4962406   0.4962406   0.95488722  0.4962406   0.4962406
  0.4962406   0.4962406   0.4962406   0.95488722  0.5037594   0.94736842
  0.94736842  0.5037594   0.4962406   0.4962406   0.5037594   0.4962406
  0.4962406   0.5037594   0.4962406   0.93233083  0.4962406   0.4962406
  0.90225564  0.4962406   0.5037594   0.93984962  0.4962406   0.90977444
  0.93984962  0.4962406   0.92481203  0.5037594   0.93233083  0.5037594
  0.4962406   0.4962406   0.5037594   0.5037594   0.4962406   0.5037594
  0.93984962  0.4962406   0.4962406   0.5037594   0.4962406   0.4962406
  0.4962406   0.4962406   0.93984962  0.92481203  0.4962406   0.4962406
  0.4962406   0.4962406   0.4962406   0.4962406   0.96240602  0.96992481
  0.4962406   0.4962406   0.4962406   0.4962406   0.4962406   0.90225564
  0.4962406   0.4962406   0.4962406   0.4962406   0.92481203  0.4962406
  0.5037594   0.90225564  0.96992481  0.91729323  0.5037594   0.4962406
  0.4962406   0.5037594   0.93984962  0.5037594   0.4962406   0.4962406
  0.4962406   0.5037594   0.5037594   0.4962406   0.4962406   0.5037594
  0.4962406   0.4962406   0.4962406   0.4962406   0.4962406   0.5037594
  0.4962406   0.4962406   0.4962406   0.90977444]"
